id,number,base_offset,material,function,thickness
sl-3,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-15,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-18,,2.924,Metal Stud Layer,floor,0.111
sl-31,,2.924,Metal Stud Layer,floor,0.111
sl-65,,0,"Concrete, Polished",floor,0.152
sl-79,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-83,,-0.051,"Concrete, Cast-in-Place gray",floor,0.102
sl-84,,-0.051,"Concrete, Cast-in-Place gray",floor,0.102
sl-87,,-0.051,"Concrete, Cast-in-Place gray",floor,0.102
sl-110,,2.924,Metal Stud Layer,floor,0.111
sl-112,,2.924,Metal Stud Layer,floor,0.111
sl-118,,2.924,Metal Stud Layer,floor,0.111
sl-120,,2.924,Metal Stud Layer,floor,0.111
sl-122,,2.924,Metal Stud Layer,floor,0.111
sl-123,,2.924,Metal Stud Layer,floor,0.111
sl-125,,0,"Concrete, Precast Smooth, Light Grey",floor,0.152
sl-146,,0,"Concrete, Precast",floor,0.152
sl-147,,0,"Concrete, Polished",floor,0.152
sl-154,,0,"Concrete, Precast",floor,0.152
sl-155,,0,"Concrete, Polished",floor,0.152
sl-156,,0,"Concrete, Precast",floor,0.152
sl-157,,0,"Concrete, Polished",floor,0.152
sl-158,,0,"Concrete, Precast",floor,0.152
sl-159,,0,"Concrete, Polished",floor,0.152
sl-162,,0,"Concrete, Precast",floor,0.152
sl-163,,0,"Concrete, Polished",floor,0.152
sl-168,,0,"Concrete, Precast",floor,0.152
sl-169,,0,"Concrete, Polished",floor,0.152
sl-172,,0,"Concrete, Precast",floor,0.152
sl-173,,0,"Concrete, Polished",floor,0.152
sl-174,,0,"Concrete, Precast",floor,0.152
sl-175,,0,"Concrete, Polished",floor,0.152
