id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-485,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-486,,,18.895,19.177,round,0.025,0.025,plumbing,,
pi-487,,,18.895,19.062,round,0.025,0.025,plumbing,,
pi-488,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-489,,,18.895,19.062,round,0.025,0.025,plumbing,,
pi-490,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-491,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-492,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-493,,,18.94,19.062,round,0.025,0.025,plumbing,,
pi-494,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-495,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-496,,,18.952,19.151,round,0.051,0.051,plumbing,,
pi-497,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-498,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-499,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-500,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-501,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-502,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-503,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-504,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-505,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-506,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-507,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-508,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-509,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-510,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-511,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-512,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-513,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-514,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-515,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-516,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-517,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-518,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-519,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-520,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-521,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-522,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-523,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-524,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-525,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-526,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-527,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-528,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-529,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-530,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-531,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-532,,,18.354,18.761,round,0.013,0.013,plumbing,,
pi-533,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-534,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-535,,,18.761,18.354,round,0.013,0.013,plumbing,,
pi-536,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-537,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-538,,,18.761,18.354,round,0.013,0.013,plumbing,,
pi-539,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-540,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-541,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-542,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-543,,,18.354,18.761,round,0.013,0.013,plumbing,,
pi-544,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-545,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-546,,,18.761,18.354,round,0.013,0.013,plumbing,,
pi-547,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-548,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-549,,,18.761,18.354,round,0.013,0.013,plumbing,,
pi-550,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-551,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-552,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-553,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-554,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-555,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-556,,,19.492,18.354,round,0.013,0.013,plumbing,,
pi-557,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-558,,,19.418,18.354,round,0.013,0.013,plumbing,,
pi-559,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-560,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-561,,,18.354,19.418,round,0.013,0.013,plumbing,,
pi-562,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-563,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-564,,,19.507,19.507,round,0.025,0.025,plumbing,,
