id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-112,,,2.38,1.984,round,0.102,0.102,Sanitary,,
pi-113,,,2.38,2.099,round,0.102,0.102,Sanitary,,
pi-114,,,2.38,2.099,round,0.102,0.102,Sanitary,,
pi-115,,,2.921,2.921,round,0.013,0.013,Domestic Cold Water,,
pi-116,,,2.921,2.921,round,0.013,0.013,Domestic Hot Water,,
pi-117,,,1.956,1.956,round,0.102,0.102,Sanitary,,
pi-118,,,1.956,1.956,round,0.102,0.102,Sanitary,,
pi-119,,,5.105,5.105,round,0.051,0.051,Sanitary,,
pi-120,,,5.065,5.001,round,0.051,0.051,Sanitary,,
pi-121,,,4.961,4.961,round,0.051,0.051,Sanitary,,
pi-122,,,4.843,4.92,round,0.051,0.051,Sanitary,,
pi-123,,,1.829,1.829,round,0.051,0.051,Sanitary,,
pi-124,,,1.829,1.829,round,0.051,0.051,Sanitary,,
pi-125,,,2.589,1.907,round,0.051,0.051,Sanitary,,
pi-126,,,1.829,1.829,round,0.051,0.051,Sanitary,,
pi-127,,,1.907,2.589,round,0.051,0.051,Sanitary,,
pi-128,,,1.829,1.829,round,0.051,0.051,Sanitary,,
pi-129,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-130,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-131,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-132,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-133,,,2.275,2.589,round,0.051,0.051,Sanitary,,
pi-134,,,2.197,2.197,round,0.051,0.051,Sanitary,,
pi-135,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-136,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-137,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-138,,,1.841,1.841,round,0.102,0.102,Sanitary,,
pi-139,,,2.589,2.275,round,0.051,0.051,Sanitary,,
pi-140,,,1.841,1.841,round,0.102,0.102,Sanitary,,
pi-141,,,13.144,13.144,round,0.102,0.102,Sanitary,,
pi-142,,,9.2,9.255,round,0.102,0.102,Sanitary,,
pi-143,,,9.099,9.099,round,0.102,0.102,Sanitary,,
pi-144,,,5.191,5.082,round,0.102,0.102,Sanitary,,
pi-145,,,4.981,4.981,round,0.102,0.102,Sanitary,,
pi-146,,,2.38,2.261,round,0.102,0.102,Sanitary,,
pi-147,,,2.159,2.159,round,0.102,0.102,Sanitary,,
pi-148,,,2.302,2.38,round,0.102,0.102,Sanitary,,
pi-149,,,1.915,1.874,round,0.102,0.102,Sanitary,,
pi-150,,,1.773,1.773,round,0.102,0.102,Sanitary,,
pi-151,,,1.916,2.016,round,0.102,0.102,Sanitary,,
pi-152,,,9.5,13.002,round,0.102,0.102,Sanitary,,
pi-153,,,5.436,8.956,round,0.102,0.102,Sanitary,,
pi-154,,,2.057,2.057,round,0.051,0.051,Sanitary,,
pi-155,,,2.589,2.135,round,0.051,0.051,Sanitary,,
pi-156,,,2.057,2.057,round,0.051,0.051,Sanitary,,
pi-157,,,2.589,2.135,round,0.051,0.051,Sanitary,,
pi-158,,,2.057,2.057,round,0.051,0.051,Sanitary,,
pi-159,,,2.589,2.135,round,0.051,0.051,Sanitary,,
pi-160,,,2.057,2.057,round,0.051,0.051,Sanitary,,
pi-161,,,2.057,2.057,round,0.051,0.051,Sanitary,,
pi-162,,,4.838,2.159,round,0.102,0.102,Sanitary,,
pi-163,,,12.863,10.109,round,0.102,0.102,Sanitary,,
pi-164,,,4.369,4.683,round,0.102,0.102,Sanitary,,
pi-165,,,4.936,4.988,round,0.102,0.102,Sanitary,,
pi-166,,,5.232,5.801,round,0.102,0.102,Sanitary,,
pi-167,,,9.052,8.835,round,0.102,0.102,Sanitary,,
pi-168,,,9.296,9.865,round,0.102,0.102,Sanitary,,
pi-169,,,13.371,13.121,round,0.051,0.051,Sanitary,,
pi-170,,,13.468,15.088,round,0.051,0.051,Sanitary,,
pi-171,,,13.024,12.961,round,0.051,0.051,Sanitary,,
pi-172,,,4.226,4.226,round,0.102,0.102,Sanitary,,
pi-173,,,4.226,4.226,round,0.102,0.102,Sanitary,,
pi-174,,,4.226,4.226,round,0.102,0.102,Sanitary,,
pi-175,,,2.38,2.302,round,0.102,0.102,Sanitary,,
pi-176,,,2.159,2.159,round,0.102,0.102,Sanitary,,
pi-177,,,2.261,2.38,round,0.102,0.102,Sanitary,,
pi-178,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-179,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-180,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-181,,,1.545,1.63,round,0.102,0.102,Sanitary,,
pi-182,,,1.52,1.535,round,0.102,0.102,Sanitary,,
pi-183,,,1.692,1.721,round,0.102,0.102,Sanitary,,
pi-184,,,2.589,1.958,round,0.051,0.051,Sanitary,,
pi-185,,,1.879,1.875,round,0.051,0.051,Sanitary,,
pi-186,,,1.873,1.869,round,0.051,0.051,Sanitary,,
pi-187,,,1.974,2.016,round,0.102,0.102,Sanitary,,
pi-188,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-189,,,2.589,2.019,round,0.051,0.051,Sanitary,,
pi-190,,,1.94,1.926,round,0.051,0.051,Sanitary,,
pi-191,,,1.923,1.895,round,0.051,0.051,Sanitary,,
pi-192,,,2.589,1.972,round,0.051,0.051,Sanitary,,
pi-193,,,2.589,1.954,round,0.051,0.051,Sanitary,,
pi-194,,,-3.545,-1.394,round,0.102,0.102,Sanitary,,
pi-195,,,-1.191,-0.607,round,0.102,0.102,Sanitary,,
pi-196,,,0.559,4.083,round,0.102,0.102,Sanitary,,
pi-197,,,0.457,0.457,round,0.102,0.102,Sanitary,,
pi-198,,,-0.404,0.314,round,0.102,0.102,Sanitary,,
pi-199,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-200,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-201,,,2.667,2.667,round,0.051,0.051,Sanitary,,
pi-202,,,2.907,2.891,round,0.013,0.013,Domestic Hot Water,,
pi-203,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-204,,,2.891,2.907,round,0.013,0.013,Domestic Hot Water,,
pi-205,,,2.921,2.921,round,0.013,0.013,Domestic Hot Water,,
pi-206,,,2.921,2.921,round,0.013,0.013,Domestic Hot Water,,
pi-207,,,3.364,2.891,round,0.013,0.013,Domestic Hot Water,,
pi-208,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-209,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-210,,,3.378,3.378,round,0.013,0.013,Domestic Hot Water,,
pi-211,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-212,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-213,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-214,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-215,,,2.921,2.921,round,0.013,0.013,Domestic Hot Water,,
pi-216,,,2.891,2.907,round,0.013,0.013,Domestic Hot Water,,
pi-217,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-218,,,3.289,2.935,round,0.013,0.013,Domestic Hot Water,,
pi-219,,,3.658,2.884,round,0.013,0.013,Domestic Hot Water,,
pi-220,,,2.87,2.87,round,0.013,0.013,Domestic Hot Water,,
pi-221,,,2.921,2.921,round,0.013,0.013,Domestic Hot Water,,
pi-222,,,2.921,2.921,round,0.013,0.013,Domestic Cold Water,,
pi-223,,,2.921,2.921,round,0.013,0.013,Domestic Cold Water,,
pi-224,,,3.065,2.942,round,0.025,0.025,Domestic Cold Water,,
pi-225,,,5.156,5.156,round,0.025,0.025,Domestic Cold Water,,
