id,number,base_offset,host_id,position,material,width,height
wn-38,119,1.054,w-282,0.045,glass,1.27,1.524
wn-39,120,1.054,w-282,0.127,glass,1.27,1.524
wn-40,122,1.054,w-282,0.291,glass,1.27,1.524
wn-41,125,1.054,w-282,0.742,glass,1.27,1.524
wn-42,126,1.054,w-282,0.373,glass,1.27,1.524
wn-43,127,1.054,w-282,0.66,glass,1.27,1.524
wn-44,111,0.94,w-724,0.155,composite,1.092,1.93
wn-45,112,0.94,w-724,0.394,composite,1.092,1.93
wn-46,113,0.94,w-724,0.633,composite,1.092,1.93
wn-47,115,0.94,w-724,0.873,composite,1.092,1.93
wn-48,139,1.854,w-259,0.5,composite,1.067,2.591
wn-49,140,1.854,w-259,0.772,composite,0.686,2.591
wn-50,143,1.854,w-259,0.228,composite,0.686,2.591
wn-51,145,2.413,w-260,0.447,composite,0.965,2.083
wn-52,152,2.413,w-264,0.447,composite,0.965,2.083
wn-136,16,0.94,w-1143,0.497,glass,1.016,1.041
wn-137,17,0.94,w-1144,0.497,glass,1.016,1.041
wn-138,18,0.514,w-1145,0.224,glass,0.914,1.867
wn-139,20,0.514,w-1145,0.776,glass,0.914,1.867
wn-140,21,0.514,w-1071,0.706,glass,0.914,1.867
wn-141,22,0.514,w-1071,0.774,glass,0.914,1.867
wn-142,23,0.514,w-1071,0.925,glass,0.914,1.867
wn-143,25,0.94,w-1086,0.148,glass,1.092,1.93
wn-144,28,0.94,w-1086,0.372,glass,1.092,1.93
wn-145,31,0.94,w-1086,0.597,glass,1.092,1.93
wn-146,34,0.94,w-1086,0.821,glass,1.092,1.93
