id,number,base_offset,system_type,terminal_type
tm-265,35,-0,,
tm-266,40,-0,,
tm-267,41,0.305,,
tm-268,177,0,,
tm-269,2,0,,
tm-270,3,0,,
tm-271,4,0,,
tm-272,5,0,,
tm-273,6,0,,
tm-274,7,0,,
tm-275,8,0,,
tm-276,80,2.464,,
tm-277,81,2.464,,
tm-278,82,2.464,,
tm-279,83,2.464,,
tm-280,111,0,,
tm-281,115,0,,
tm-282,116,0,,
tm-283,117,0,,
tm-284,118,0,,
tm-285,119,0,,
tm-286,120,0,,
tm-287,121,0,,
tm-288,122,0,,
tm-289,123,0,,
tm-290,124,0,,
tm-291,125,0,,
tm-292,126,0,,
tm-293,127,0,,
tm-294,129,0,,
tm-295,130,0,,
tm-296,131,0,,
tm-297,132,0,,
tm-298,133,0,,
tm-299,134,0,,
tm-300,135,0,,
tm-301,136,0,,
tm-302,137,0,,
tm-303,138,0,,
tm-304,167,0,,
tm-305,168,0,,
tm-306,169,0.305,,
tm-307,194,-0,,
tm-308,195,-0,,
tm-309,196,0.305,,
tm-310,224,-0,,
tm-311,225,-0,,
tm-312,226,0.305,,
tm-313,230,0,,
tm-314,231,0,,
tm-315,232,0,,
tm-316,241,0,,
tm-317,242,0,,
tm-318,243,0,,
tm-319,244,0,,
tm-320,245,0,,
tm-321,246,0,,
tm-322,247,0,,
tm-323,248,0,,
tm-324,249,0,,
tm-325,250,0,,
tm-326,251,0,,
tm-327,255,0,,
tm-328,256,0,,
tm-329,257,0,,
tm-330,258,0,,
tm-331,259,0,,
tm-332,260,0,,
tm-333,261,0,,
tm-334,262,0,,
tm-335,263,0,,
tm-336,264,0,,
tm-337,265,0,,
tm-338,266,0,,
tm-339,267,0,,
tm-340,268,0,,
tm-341,269,0,,
tm-342,270,0,,
tm-343,271,0,,
tm-344,272,0,,
tm-345,273,0,,
tm-346,274,0,,
tm-347,275,0,,
tm-348,276,0,,
tm-349,277,0,,
tm-350,278,0,,
tm-351,279,0,,
tm-352,306,0,,
tm-353,311,-1.524,,
tm-354,312,-1.524,,
tm-355,313,-1.524,,
tm-356,314,-1.524,,
tm-357,334,0,,
tm-358,335,0,,
tm-359,339,0,,
tm-360,340,0,,
tm-361,357,0,,
tm-362,358,0,,
tm-363,376,0,,
tm-364,377,0,,
tm-365,412,0,,
tm-366,413,0,,
tm-367,424,0,,
tm-368,425,0,,
tm-369,282,0,,
tm-370,284,0,,
tm-537,1,0,Exhaust Air,
tm-538,3,0,Supply Air,
tm-539,4,0,Supply Air,
tm-540,10,0,Exhaust Air,
tm-541,11,0,Supply Air,
tm-542,13,0.406,Return Air,
tm-543,14,0.406,Return Air,
tm-544,15,2.896,Supply Air,
tm-545,17,2.896,Supply Air,
tm-546,18,2.896,Supply Air,
tm-547,28,0,Supply Air,
tm-548,29,2.95,Return Air,
tm-549,30,0,Supply Air,
tm-550,32,2.95,Supply Air,
tm-551,33,2.95,Supply Air,
tm-552,36,0,Exhaust Air,
tm-553,38,0,Exhaust Air,
tm-554,41,2.438,Supply Air,
tm-555,47,2.438,Return Air,
tm-556,49,2.438,Supply Air,
tm-557,52,2.362,Supply Air,
tm-558,53,2.362,Supply Air,
tm-559,55,2.362,Supply Air,
tm-560,56,2.362,Supply Air,
tm-561,61,2.328,Supply Air,
tm-562,63,2.328,Supply Air,
tm-563,69,2.328,Supply Air,
tm-564,71,2.328,Supply Air,
tm-565,82,2.328,Supply Air,
tm-566,83,2.328,Supply Air,
tm-567,86,1.918,Return Air,
tm-568,550,0,Supply Air,
tm-569,552,2.362,Return Air,
tm-570,553,2.362,Return Air,
tm-571,554,2.328,Return Air,
tm-572,555,2.328,Return Air,
tm-573,556,2.328,Return Air,
tm-574,557,2.328,Return Air,
tm-575,558,1.918,Return Air,
tm-576,559,1.918,Return Air,
tm-577,560,1.918,Return Air,
tm-578,561,0,Supply Air,
tm-579,562,2.438,Return Air,
tm-580,563,0,Supply Air,
tm-581,564,0,Supply Air,
tm-582,566,0,Supply Air,
tm-583,590,0.305,Return Air,
tm-584,591,2.134,Return Air,
tm-585,592,3.962,Return Air,
tm-586,593,5.791,Return Air,
tm-587,723,2.95,Supply Air,
tm-963,15,0,Exhaust Air,
tm-964,16,0,Exhaust Air,
tm-965,17,0,Exhaust Air,
tm-966,31,0,Exhaust Air,
tm-1233,26,-0,,
tm-1234,31,-0,,
tm-1235,32,0.305,,
tm-1236,51,0,,
tm-1237,52,0,,
tm-1238,53,0,,
tm-1239,54,0,,
tm-1240,55,0,,
tm-1241,56,0,,
tm-1242,57,0,,
tm-1243,58,0,,
tm-1244,75,0,,
tm-1245,76,0,,
tm-1246,77,0,,
tm-1247,78,0,,
tm-1248,86,0,,
tm-1249,90,0,,
tm-1250,91,0,,
tm-1251,92,0,,
tm-1252,93,0,,
tm-1253,94,0,,
tm-1254,95,0,,
tm-1255,96,0,,
tm-1256,97,0,,
tm-1257,98,0,,
tm-1258,99,0,,
tm-1259,100,0,,
tm-1260,101,0,,
tm-1261,102,0,,
tm-1262,103,0,,
tm-1263,104,0,,
tm-1264,105,0,,
tm-1265,106,0,,
tm-1266,107,0,,
tm-1267,108,0,,
tm-1268,109,0,,
tm-1269,110,0,,
tm-1270,111,0,,
tm-1271,112,0,,
tm-1272,141,-0,,
tm-1273,142,-0,,
tm-1274,143,0.305,,
tm-1275,163,-0,,
tm-1276,164,-0,,
tm-1277,165,0.305,,
tm-1278,218,-0,,
tm-1279,219,-0,,
tm-1280,220,0.305,,
tm-1281,224,0,,
tm-1282,225,0,,
tm-1283,226,0,,
tm-1284,227,0,,
tm-1285,228,0,,
tm-1286,229,0,,
tm-1287,230,0,,
tm-1288,231,0,,
tm-1289,232,0,,
tm-1290,233,0,,
tm-1291,234,0,,
tm-1292,235,0,,
tm-1293,236,0,,
tm-1294,237,0,,
tm-1295,238,0,,
tm-1296,239,0,,
tm-1297,240,0,,
tm-1298,241,0,,
tm-1299,242,0,,
tm-1300,243,0,,
tm-1301,244,0,,
tm-1302,245,0,,
tm-1303,246,0,,
tm-1304,247,0,,
tm-1305,248,0,,
tm-1306,249,0,,
tm-1307,250,0,,
tm-1308,251,0,,
tm-1309,252,0,,
tm-1310,253,0,,
tm-1311,254,0,,
tm-1312,255,0,,
tm-1313,256,0,,
tm-1314,257,0,,
tm-1315,258,0,,
tm-1316,259,0,,
tm-1317,260,0,,
tm-1318,261,0,,
tm-1319,262,0,,
tm-1320,281,0,,
tm-1321,286,-0,,
tm-1322,287,0,,
tm-1323,288,-0,,
tm-1324,289,0,,
tm-1325,325,0,,
tm-1326,326,0,,
tm-1327,330,0,,
tm-1328,331,0,,
tm-1329,346,0,,
tm-1330,347,0,,
tm-1331,358,0,,
tm-1332,359,0,,
tm-1333,370,0,,
tm-1334,371,0,,
tm-1335,382,0,,
tm-1336,383,0,,
tm-1337,584,0,,
tm-1338,588,0,,
tm-1339,607,0,,
tm-1340,608,0,,
tm-1341,611,0,,
tm-1342,612,0,,
tm-1343,82,-0,,
tm-1344,83,-0,,
tm-1345,84,0,,
tm-1346,85,0,,
tm-1347,86,-0,,
tm-1348,87,0,,
tm-1349,88,0,,
tm-1350,89,0,,
tm-1351,90,-0,,
tm-1352,91,-0,,
tm-1353,92,0,,
tm-1354,93,0,,
tm-1355,94,0,,
tm-1356,95,0,,
tm-1357,96,-0,,
tm-1358,97,-0,,
tm-1359,98,0,,
tm-1360,99,0,,
tm-1361,100,0,,
tm-1362,101,-0,,
tm-1363,102,0,,
tm-1364,103,0,,
tm-1365,104,0,,
tm-1366,105,0,,
tm-1367,106,0,,
tm-1368,107,-0,,
tm-1369,108,0,,
tm-1370,109,0,,
tm-1371,110,0,,
tm-1372,111,-0,,
tm-1373,112,0,,
tm-1374,113,0,,
tm-1375,114,0,,
tm-1376,115,0,,
tm-1377,116,-0,,
tm-1378,118,-0,,
tm-1379,119,-0,,
tm-1380,120,0,,
tm-1381,121,0,,
tm-1382,122,-0,,
tm-1383,123,-0,,
tm-1384,124,-0,,
tm-1385,125,-0,,
tm-1386,126,-0,,
tm-1387,127,-0,,
tm-1388,128,-0,,
tm-1389,129,0,,
tm-1390,130,-0,,
tm-1391,131,-0,,
tm-1392,132,-0,,
tm-1393,133,-0,,
