id,number,base_offset,material,function,thickness
sl-108,,0,steel,floor,0.006
sl-109,,2.924,steel,floor,0.111
sl-110,,0,steel,floor,0.006
sl-111,,0,concrete,floor,0.152
sl-112,,0,steel,floor,0.006
sl-113,,-0.051,concrete,floor,0.102
sl-114,,2.924,steel,floor,0.111
sl-115,,2.924,steel,floor,0.111
sl-116,,2.924,steel,floor,0.111
sl-117,,0,concrete,floor,0.152
sl-118,,0,concrete,floor,0.152
sl-119,,0,concrete,floor,0.152
sl-120,,0,concrete,floor,0.152
sl-121,,0,concrete,floor,0.152
sl-122,,0,concrete,floor,0.152
sl-123,,0,concrete,floor,0.152
sl-124,,0,concrete,floor,0.152
