id,number,base_offset,top_level_id,top_offset,material,thickness
w-656,,0,lv-14,-0.152,steel,0.156
w-657,,0,lv-14,-0.737,steel,0.156
w-658,,0,lv-14,-0.698,steel,0.156
w-659,,0,lv-14,-0.152,steel,0.156
w-660,,0,,0,steel,0.124
w-661,,0,,0,steel,0.184
w-662,,0,,0,steel,0.124
w-663,,0,,0,steel,0.124
w-664,,0,,0,steel,0.124
w-665,,0,,0,steel,0.124
w-666,,0,,0,steel,0.124
w-667,,0,,0,steel,0.124
w-668,,0,,0,steel,0.124
w-669,,0,,0,steel,0.124
w-670,,2.134,,0,steel,0.124
w-671,,0,,0,steel,0.124
w-672,,0,,0,steel,0.184
w-673,,0,,0,steel,0.124
w-674,,0,,0,steel,0.124
w-675,,0,,0,steel,0.124
w-676,,0,,0,steel,0.124
w-677,,0,,0,steel,0.124
w-678,,0,,0,steel,0.124
w-679,,0,,0,steel,0.057
w-680,,0,,0,steel,0.124
w-681,,0,,0,steel,0.124
w-682,,2.134,,0,steel,0.124
w-683,,0,lv-14,0,steel,0.216
w-684,,0,,0,steel,0.184
w-685,,2.134,,0,steel,0.124
w-686,,0,,0,steel,0.184
w-687,,0,,0,steel,0.124
w-688,,0,,0,steel,0.124
w-689,,0,,0,steel,0.124
w-690,,0,,0,steel,0.124
w-691,,0,,0,steel,0.184
w-692,,2.134,,0,composite,0.152
w-693,,0,,0,steel,0.124
w-694,,0,,0,steel,0.184
w-695,,0,lv-14,-0.152,steel,0.216
w-696,,0,,0,steel,0.124
w-697,,0,lv-14,-0.152,steel,0.124
w-698,,0,lv-14,-0.152,steel,0.216
w-699,,0,lv-14,-0.152,steel,0.124
w-700,,0,lv-14,-0.152,steel,0.124
w-701,,-0.229,,0,steel,0.251
w-702,,0,lv-14,-0.737,steel,0.168
w-703,,0,,0,steel,0.184
w-704,,0,,0,steel,0.184
w-705,,0,,0,steel,0.124
w-706,,0,,0,steel,0.057
w-707,,0,,0,steel,0.057
w-708,,0,,0,steel,0.057
w-709,,0,,0,steel,0.184
w-710,,0,lv-14,-0.152,steel,0.14
w-711,,0,lv-14,-0.152,steel,0.079
w-712,,0,lv-14,-0.152,steel,0.079
w-713,,0,lv-14,-0.152,steel,0.079
w-714,,0,lv-14,-0.152,steel,0.079
w-715,,0,lv-14,0,steel,0.079
w-716,,0,lv-14,-0.152,steel,0.079
w-717,,0,lv-14,-0.152,steel,0.079
w-718,,0,lv-14,-0.152,steel,0.079
w-719,,0,lv-14,0,steel,0.048
w-720,,0,,0,steel,0.184
w-721,,0,lv-14,-0.152,steel,0.124
w-722,,0,,0,steel,0.184
w-723,,0,,0,steel,0.184
w-724,,0,lv-14,0,steel,0.168
w-725,,0,lv-14,0,steel,0.108
w-726,,0,lv-14,0,steel,0.108
w-727,,-0.698,lv-11,-0.152,steel,0.267
w-728,,-0.698,lv-11,-0.152,steel,0.235
w-729,,-0.737,lv-11,0,steel,0.267
w-730,,-0.737,lv-11,-0.152,steel,0.267
w-731,,2.413,lv-11,4.496,steel,0.079
w-732,,2.413,lv-11,4.496,steel,0.079
w-733,,2.413,lv-11,4.496,steel,0.079
w-734,,2.413,lv-11,4.496,steel,0.079
w-735,,0.61,lv-14,0,steel,0.108
w-736,,0,,0,steel,0.184
w-737,,0,,0,steel,0.184
w-738,,0,,0,steel,0.184
w-739,,2.438,,0,steel,0.108
w-740,,2.438,,0,steel,0.108
w-741,,-0.698,lv-11,-0.152,steel,0.267
w-742,,-0.698,lv-11,-0.152,steel,0.267
w-743,,-0.737,lv-11,0,steel,0.267
w-744,,-0.737,lv-11,-0.152,steel,0.267
w-745,,-0.737,lv-11,-0.152,steel,0.267
w-746,,-0.698,lv-11,-0.152,steel,0.235
w-747,,-0.737,lv-11,-0.152,steel,0.267
w-748,,-0.698,lv-11,-0.152,steel,0.235
w-749,,-0.698,lv-11,-0.152,steel,0.235
w-750,,2.438,,0,steel,0.108
w-751,,2.438,,0,steel,0.108
w-752,,2.438,,0,steel,0.108
w-753,,2.438,,0,steel,0.108
w-754,,2.438,,0,steel,0.108
w-755,,2.438,,0,steel,0.108
w-756,,2.438,,0,steel,0.108
w-757,,2.438,,0,steel,0.108
w-758,,2.438,,0,steel,0.108
w-759,,2.438,,0,steel,0.108
w-760,,0,,0,steel,0.184
w-761,,0,,0,steel,0.184
w-762,,0,,0,steel,0.124
w-1143,,0.457,,0,composite,0.254
w-1144,,0.457,,0,composite,0.254
w-1145,,0.457,,0,composite,0.254
w-1146,,0.457,,0,composite,0.254
