id,number,base_offset,system_type
mn-1,,1.722,Supply Air
mn-2,,2.121,Supply Air
mn-3,,1.722,Supply Air
mn-998,,0.387,Exhaust Air
mn-999,,0.607,Exhaust Air
mn-1000,,0.927,Exhaust Air
mn-1001,,0.927,Exhaust Air
mn-1002,,1.676,Exhaust Air
mn-1003,,1.337,Exhaust Air
mn-1004,,1.337,Exhaust Air
mn-1005,,0.683,Exhaust Air
mn-1006,,-0.433,Sanitary
mn-1007,,-0.51,Sanitary
mn-1008,,-4.054,Sanitary
mn-1009,,-1.964,Sanitary
mn-1010,,-2.492,Sanitary
mn-1011,,0.203,Sanitary
mn-1012,,-0.076,Sanitary
mn-1013,,-0.076,Sanitary
mn-1014,,-0.461,Sanitary
mn-1015,,-0.318,Sanitary
mn-1016,,-0.076,Sanitary
mn-1017,,-0.482,Sanitary
mn-1018,,-0.339,Sanitary
mn-1019,,-0.076,Sanitary
mn-1020,,0.203,Sanitary
mn-1021,,-0.881,Sanitary
mn-1022,,-1.356,Sanitary
mn-1023,,1.829,Sanitary
mn-1024,,1.684,Sanitary
mn-1025,,1.514,Sanitary
mn-1026,,1.585,Sanitary
mn-1027,,1.684,Sanitary
mn-1028,,0.457,Sanitary
mn-1029,,-3.735,Sanitary
mn-1030,,-5.485,Sanitary
mn-1031,,-5.551,Sanitary
mn-1032,,-5.643,Sanitary
mn-1033,,-5.719,Sanitary
mn-1034,,-5.783,Sanitary
mn-1035,,-5.837,Sanitary
mn-1036,,-5.419,Sanitary
mn-1037,,-5.911,Sanitary
mn-1038,,0.406,Domestic Hot Water
mn-1039,,0.457,Domestic Hot Water
mn-1040,,0.457,Domestic Hot Water
mn-1041,,0.406,Domestic Hot Water
mn-1042,,0.406,Domestic Hot Water
mn-1043,,1.067,Domestic Hot Water
mn-1044,,0.406,Domestic Hot Water
mn-1045,,0.406,Domestic Hot Water
mn-1046,,1.067,Domestic Hot Water
mn-1047,,0.013,Domestic Hot Water
mn-1048,,0.895,Domestic Cold Water
mn-1049,,0.895,Domestic Cold Water
mn-1050,,0.203,Domestic Cold Water
mn-1051,,0.457,Domestic Cold Water
mn-1052,,0.203,Domestic Cold Water
mn-1053,,1.194,Domestic Cold Water
mn-1054,,0.457,Domestic Cold Water
mn-1055,,0.457,Domestic Cold Water
mn-1056,,0.457,Domestic Cold Water
mn-1057,,0.629,Domestic Cold Water
mn-1058,,0.006,Domestic Cold Water
mn-1059,,-5.909,Sanitary
mn-1060,,-5.721,Sanitary
mn-1061,,-5.782,Sanitary
mn-1062,,-5.667,Sanitary
