id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1,,,-0.084,-0.399,round,0.102,0.102,Sanitary,,
pi-2,,,-0.084,-0.29,round,0.102,0.102,Sanitary,,
pi-3,,,-2.036,-2.421,round,0.102,0.102,Sanitary,,
pi-4,,,-2.635,-3.48,round,0.102,0.102,Sanitary,,
pi-5,,,0.203,0.203,round,0.051,0.051,Sanitary,,
pi-6,,,0.125,0.002,round,0.051,0.051,Sanitary,,
pi-7,,,-0.076,-0.076,round,0.051,0.051,Sanitary,,
pi-8,,,-0.154,-0.22,round,0.051,0.051,Sanitary,,
pi-9,,,-0.485,-0.507,round,0.102,0.102,Sanitary,,
pi-10,,,-0.436,-0.459,round,0.102,0.102,Sanitary,,
pi-11,,,0.203,0.203,round,0.051,0.051,Sanitary,,
pi-12,,,0.125,0.002,round,0.051,0.051,Sanitary,,
pi-13,,,-0.076,-0.076,round,0.051,0.051,Sanitary,,
pi-14,,,-0.24,-0.154,round,0.051,0.051,Sanitary,,
pi-15,,,-0.464,-0.479,round,0.102,0.102,Sanitary,,
pi-16,,,-1.822,-1.499,round,0.102,0.102,Sanitary,,
pi-17,,,-1.252,-0.939,round,0.102,0.102,Sanitary,,
pi-18,,,-1.184,-0.653,round,0.102,0.102,Sanitary,,
pi-19,,,1.829,1.829,round,0.051,0.051,Sanitary,,
pi-20,,,1.788,1.725,round,0.051,0.051,Sanitary,,
pi-21,,,1.684,1.684,round,0.051,0.051,Sanitary,,
pi-22,,,1.635,1.656,round,0.051,0.051,Sanitary,,
pi-23,,,-5.552,-5.642,round,0.051,0.051,Sanitary,,
pi-24,,,-5.644,-5.718,round,0.051,0.051,Sanitary,,
pi-25,,,-5.719,-5.781,round,0.051,0.051,Sanitary,,
pi-26,,,-5.784,-5.836,round,0.076,0.076,Sanitary,,
pi-27,,,-5.839,-5.908,round,0.076,0.076,Sanitary,,
pi-28,,,-5.331,-5.341,round,0.051,0.051,Sanitary,,
pi-29,,,-5.331,-5.407,round,0.051,0.051,Sanitary,,
pi-30,,,-5.331,-5.473,round,0.051,0.051,Sanitary,,
pi-31,,,-5.331,-5.565,round,0.051,0.051,Sanitary,,
pi-32,,,-5.331,-5.641,round,0.051,0.051,Sanitary,,
pi-33,,,-5.331,-5.588,round,0.051,0.051,Sanitary,,
pi-34,,,-5.331,-5.642,round,0.051,0.051,Sanitary,,
pi-35,,,-5.486,-5.49,round,0.051,0.051,Sanitary,,
pi-36,,,-5.484,-5.42,round,0.051,0.051,Sanitary,,
pi-37,,,-5.55,-5.491,round,0.051,0.051,Sanitary,,
pi-38,,,0.427,0.443,round,0.013,0.013,Domestic Hot Water,,
pi-39,,,0.457,0.457,round,0.013,0.013,Domestic Hot Water,,
pi-40,,,0.406,0.406,round,0.013,0.013,Domestic Hot Water,,
pi-41,,,0.457,0.457,round,0.013,0.013,Domestic Hot Water,,
pi-42,,,0.406,0.406,round,0.013,0.013,Domestic Hot Water,,
pi-43,,,0.443,0.421,round,0.013,0.013,Domestic Hot Water,,
pi-44,,,1.194,1.081,round,0.013,0.013,Domestic Hot Water,,
pi-45,,,0.406,0.406,round,0.013,0.013,Domestic Hot Water,,
pi-46,,,0.421,1.053,round,0.013,0.013,Domestic Hot Water,,
pi-47,,,1.067,1.067,round,0.013,0.013,Domestic Hot Water,,
pi-48,,,0.406,0.406,round,0.013,0.013,Domestic Hot Water,,
pi-49,,,0.14,0.027,round,0.013,0.013,Domestic Hot Water,,
pi-50,,,0.013,0.013,round,0.013,0.013,Domestic Hot Water,,
pi-51,,,0.02,0.14,round,0.013,0.013,Domestic Cold Water,,
pi-52,,,0.14,0.006,round,0.013,0.013,Domestic Cold Water,,
pi-53,,,0.851,0.874,round,0.025,0.025,Domestic Cold Water,,
pi-54,,,0.895,0.895,round,0.025,0.025,Domestic Cold Water,,
pi-55,,,0.915,1.04,round,0.025,0.025,Domestic Cold Water,,
pi-56,,,0.457,0.457,round,0.013,0.013,Domestic Cold Water,,
pi-57,,,0.203,0.203,round,0.013,0.013,Domestic Cold Water,,
pi-58,,,0.217,0.443,round,0.013,0.013,Domestic Cold Water,,
pi-59,,,0.457,0.457,round,0.013,0.013,Domestic Cold Water,,
pi-60,,,0.203,0.203,round,0.013,0.013,Domestic Cold Water,,
pi-61,,,0.217,0.437,round,0.013,0.013,Domestic Cold Water,,
pi-62,,,0.457,0.457,round,0.013,0.013,Domestic Cold Water,,
pi-63,,,1.187,1.094,round,0.025,0.025,Domestic Cold Water,,
pi-64,,,0.673,0.65,round,0.025,0.025,Domestic Cold Water,,
pi-65,,,-0.125,0.14,round,0.013,0.013,Domestic Hot Water,,
pi-66,,,-0.125,0.14,round,0.013,0.013,Domestic Hot Water,,
