id,number,base_offset,system_type,terminal_type
tm-2071,402,0,,
tm-2072,403,0,,
tm-2073,173,0,,
tm-2074,174,0,,
tm-2075,175,0,,
tm-2076,176,0,,
tm-2077,177,0,,
tm-2078,178,0,,
tm-2079,179,-0,,
tm-2080,180,0,,
tm-2081,181,0,,
tm-2082,182,0,,
tm-2083,183,0,,
tm-2084,184,0,,
tm-2085,185,0,,
tm-2086,186,0,,
tm-2087,187,0,,
tm-2088,188,0,,
tm-2089,446,0,,
tm-2090,447,0,,
tm-2091,452,-0,,
tm-2092,453,0,,
tm-2093,454,-0,,
tm-2094,455,0,,
tm-2095,456,0,,
tm-2096,457,-0,,
tm-2097,458,0,,
tm-2098,459,0,,
tm-2099,460,-0,,
tm-2100,461,0,,
tm-2101,462,0,,
tm-2102,463,0,,
tm-2103,464,0,,
tm-2104,465,0,,
tm-2105,466,0,,
tm-2106,467,0,,
tm-2107,468,0,,
tm-2108,469,0,,
tm-2109,476,0,,
tm-2110,477,0,,
tm-2111,485,0,,
tm-2112,486,0,,
tm-2113,487,0,,
