id,number,base_offset,material,function,thickness
sl-5,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-10,,2.924,Metal Stud Layer,floor,0.111
sl-13,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-63,,0,"Concrete, Polished",floor,0.152
sl-77,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-82,,-0.051,"Concrete, Cast-in-Place gray",floor,0.102
sl-111,,2.924,Metal Stud Layer,floor,0.111
sl-113,,2.924,Metal Stud Layer,floor,0.111
sl-117,,2.924,Metal Stud Layer,floor,0.111
sl-138,,0,"Concrete, Precast",floor,0.152
sl-139,,0,"Concrete, Polished",floor,0.152
sl-140,,0,"Concrete, Precast",floor,0.152
sl-141,,0,"Concrete, Polished",floor,0.152
sl-142,,0,"Concrete, Precast",floor,0.152
sl-143,,0,"Concrete, Polished",floor,0.152
sl-180,,0,"Concrete, Precast",floor,0.152
sl-181,,0,"Concrete, Polished",floor,0.152
