id,number,base_offset,host_id,position,material,width,height,operation,hinge_position,swing_side
d-94,S14,0,w-11,0.116,aluminum,0.914,2.134,single_swing,end,left
d-95,S34,0,w-150,0.718,aluminum,0.914,2.134,single_swing,start,left
d-96,403A,0,w-909,0.776,aluminum,0.914,2.134,single_swing,start,right
d-97,407B,0,w-910,0.776,aluminum,0.914,2.134,single_swing,start,right
d-98,408A,0,w-908,0.773,aluminum,0.914,2.134,single_swing,start,right
d-99,408C,0,w-768,0.345,aluminum,0.914,2.134,single_swing,start,left
d-100,407A,0,w-764,0.87,aluminum,0.914,2.134,single_swing,end,right
d-101,409A,0,w-765,0.127,aluminum,0.914,2.134,single_swing,end,right
d-102,410A,0,w-766,0.337,aluminum,0.914,2.134,single_swing,end,right
d-103,404A,0,w-763,0.437,aluminum,0.914,2.134,single_swing,start,left
d-104,405A,0,w-911,0.743,aluminum,0.914,2.134,single_swing,start,right
d-105,403B,0,w-764,0.226,aluminum,0.914,2.134,single_swing,end,right
d-106,405B,0,w-764,0.506,aluminum,0.914,2.134,single_swing,end,right
d-107,S24,0,w-87,0.733,aluminum,0.914,2.134,single_swing,start,left
d-108,402A,0,w-130,0.278,aluminum,0.914,2.134,single_swing,start,left
d-109,409B,0,w-816,0.78,aluminum,0.914,2.134,single_swing,start,left
d-110,410B,0,w-958,0.568,aluminum,0.914,2.134,single_swing,start,left
d-111,408OPN,0,w-793,0.511,composite,0,0,,start,left
d-112,401A,0,w-557,0.496,aluminum,0.914,2.134,single_swing,start,left
d-113,404B,0,w-959,0.568,aluminum,0.914,2.134,single_swing,start,left
d-114,402B,0,w-853,0.663,aluminum,0.914,2.134,single_swing,start,right
d-115,406C,0,w-862,0.587,aluminum,0.914,2.134,single_swing,start,right
d-116,401B,0,w-875,0.735,aluminum,0.914,2.134,single_swing,start,right
d-117,403OPN,0,w-771,0.514,composite,0,0,,start,left
d-118,401C,0,w-32,0.252,glass,0.914,2.261,single_swing,end,right
d-119,410C,0,w-282,0.865,glass,0.914,2.261,single_swing,end,right
d-120,406A,0,w-282,0.332,glass,0.914,2.261,single_swing,end,right
d-121,406B,0,w-763,0.627,aluminum,0.914,2.134,single_swing,end,left
d-122,405OPN,0,w-962,0.514,composite,0,0,,start,left
