id,number,base_offset,material,function,thickness
sl-125,,0,steel,floor,0.006
sl-126,,0,steel,floor,0.006
sl-127,,2.924,steel,floor,0.111
sl-128,,2.924,steel,floor,0.111
sl-129,,0,concrete,floor,0.152
sl-130,,0,steel,floor,0.006
sl-131,,-0.051,concrete,floor,0.102
sl-132,,-0.051,concrete,floor,0.102
sl-133,,-0.051,concrete,floor,0.102
sl-134,,2.924,steel,floor,0.111
sl-135,,2.924,steel,floor,0.111
sl-136,,2.924,steel,floor,0.111
sl-137,,2.924,steel,floor,0.111
sl-138,,2.924,steel,floor,0.111
sl-139,,2.924,steel,floor,0.111
sl-140,,0,concrete,floor,0.152
sl-141,,0,concrete,floor,0.152
sl-142,,0,concrete,floor,0.152
sl-143,,0,concrete,floor,0.152
sl-144,,0,concrete,floor,0.152
sl-145,,0,concrete,floor,0.152
sl-146,,0,concrete,floor,0.152
sl-147,,0,concrete,floor,0.152
sl-148,,0,concrete,floor,0.152
sl-149,,0,concrete,floor,0.152
sl-150,,0,concrete,floor,0.152
sl-151,,0,concrete,floor,0.152
sl-152,,0,concrete,floor,0.152
sl-153,,0,concrete,floor,0.152
sl-154,,0,concrete,floor,0.152
sl-155,,0,concrete,floor,0.152
sl-156,,0,concrete,floor,0.152
