id,number,base_offset,host_id,position,material,width,height
wn-53,87,0.914,w-282,0.086,glass,1.27,1.524
wn-54,88,0.914,w-282,0.25,glass,1.27,1.524
wn-55,91,0.914,w-282,0.455,glass,1.27,1.524
wn-56,92,0.914,w-282,0.742,glass,1.27,1.524
wn-57,93,0.914,w-282,0.537,glass,1.27,1.524
wn-58,94,0.914,w-282,0.66,glass,1.27,1.524
wn-59,148,0.914,w-32,0.5,glass,1.27,1.524
wn-60,149,0.914,w-32,0.749,glass,1.27,1.524
wn-61,186,0.889,w-829,0.688,glass,0.991,1.93
wn-62,187,0.889,w-829,0.274,glass,0.991,1.93
wn-63,171,0.889,w-832,0.688,glass,0.991,1.93
wn-64,172,0.889,w-832,0.274,glass,0.991,1.93
wn-65,178,0.889,w-835,0.688,glass,0.991,1.93
wn-66,179,0.889,w-835,0.274,glass,0.991,1.93
wn-67,129,0.33,w-889,0.158,composite,1.092,2.032
wn-68,132,0.33,w-889,0.397,composite,1.092,2.032
wn-69,134,0.33,w-889,0.633,composite,1.092,2.032
wn-70,136,0.33,w-889,0.873,composite,1.092,2.032
wn-71,153,0.381,w-267,0.845,composite,1.092,1.93
wn-72,154,0.381,w-267,0.134,composite,1.092,1.93
wn-73,155,0.381,w-267,0.384,composite,1.092,1.93
wn-74,156,0.381,w-267,0.595,composite,1.092,1.93
wn-75,198,0.737,w-894,0.158,composite,1.092,2.032
wn-76,199,0.737,w-894,0.3,composite,1.092,2.032
wn-77,200,0.737,w-894,0.441,composite,1.092,2.032
wn-78,201,0.737,w-894,0.647,composite,1.092,2.032
wn-79,202,0.737,w-894,0.788,composite,1.092,2.032
wn-80,203,0.737,w-894,0.93,composite,1.092,2.032
wn-81,212,0.737,w-898,0.283,composite,1.092,2.032
wn-82,213,0.737,w-898,0.504,composite,1.092,2.032
wn-83,214,0.737,w-898,0.688,composite,1.092,2.032
wn-84,215,0.737,w-898,0.871,composite,1.092,2.032
wn-85,216,0.737,w-898,0.108,composite,1.092,2.032
wn-147,26,0.33,w-1086,0.148,glass,1.092,2.032
wn-148,29,0.33,w-1086,0.372,glass,1.092,2.032
wn-149,32,0.33,w-1086,0.594,glass,1.092,2.032
wn-150,35,0.33,w-1086,0.818,glass,1.092,2.032
wn-151,39,0.381,w-1077,0.152,glass,1.092,1.93
wn-152,40,0.381,w-1077,0.397,glass,1.092,1.93
wn-153,41,0.381,w-1077,0.603,glass,1.092,1.93
wn-154,42,0.381,w-1077,0.848,glass,1.092,1.93
wn-155,2,0.737,w-1083,0.158,glass,1.092,2.032
wn-156,3,0.737,w-1083,0.3,glass,1.092,2.032
wn-157,4,0.737,w-1083,0.441,glass,1.092,2.032
wn-158,5,0.737,w-1083,0.647,glass,1.092,2.032
wn-159,6,0.737,w-1083,0.788,glass,1.092,2.032
wn-160,7,0.737,w-1083,0.93,glass,1.092,2.032
wn-161,15,0.737,w-1084,0.49,glass,1.092,2.032
wn-162,19,0.737,w-1084,0.662,glass,1.092,2.032
wn-163,36,0.737,w-1084,0.835,glass,1.092,2.032
wn-164,37,0.737,w-1084,0.281,glass,1.092,2.032
wn-165,38,0.737,w-1084,0.116,glass,1.092,2.032
