id,number,base_offset,mesh_file,top_level_id,top_offset,material,thickness
w-47,,0,,lv-3,0,steel,0.138
w-48,,0,,lv-3,0,steel,0.138
w-49,,0,,lv-3,0,steel,0.138
w-50,,0,,lv-3,0,steel,0.138
w-51,,0,,lv-3,0,steel,0.138
w-52,,0,,lv-3,0,steel,0.138
w-53,,0,,lv-3,0,steel,0.138
w-54,,0,,lv-3,0,steel,0.138
w-55,,0,,lv-3,0,steel,0.138
w-56,,0,,lv-3,0,steel,0.138
w-57,,0,,lv-3,0,steel,0.138
w-58,,0,,lv-3,0,steel,0.138
w-59,,0,,lv-3,0,steel,0.138
w-60,,0,,lv-3,0,steel,0.138
w-61,,0,,lv-3,0,steel,0.138
w-78,,0,,lv-3,0,steel,0.138
w-80,,0,,lv-3,0,steel,0.138
w-81,,0,,lv-3,0,steel,0.138
w-82,,0,,lv-3,0,steel,0.138
w-83,,0,,lv-3,0,steel,0.138
w-84,,0,,lv-3,0,steel,0.138
w-85,,0,,lv-3,0,steel,0.138
w-86,,0,,lv-3,0,steel,0.138
w-87,,0,,lv-3,0,steel,0.138
w-88,,0,,lv-3,0,steel,0.138
w-89,,0,,lv-3,0,steel,0.138
w-90,,0,,lv-3,0,steel,0.138
w-91,,0,,lv-3,0,steel,0.138
w-92,,0,,lv-3,0,steel,0.138
w-93,,0,,lv-3,0,steel,0.138
w-94,,0,,lv-3,0,steel,0.138
w-95,,0,,lv-3,0,steel,0.138
w-96,,0,,lv-3,0,steel,0.138
w-97,,0,,lv-3,0,steel,0.138
w-98,,0,,lv-3,0,steel,0.138
w-99,,0,,lv-3,0,steel,0.138
w-100,,0,,lv-3,0,steel,0.138
w-101,,0,,lv-3,0,steel,0.138
w-102,,0,,lv-3,0,steel,0.138
w-103,,0,,lv-3,0,steel,0.138
w-104,,0,,lv-3,0,steel,0.138
w-105,,0,,lv-3,0,steel,0.138
w-106,,0,,lv-3,0,steel,0.138
w-107,,0,,lv-3,0,steel,0.138
w-108,,0,,lv-3,0,steel,0.138
