id,number,base_offset,mesh_file,x,y,name
sp-32,201,,,55.044,-17.259,Stair 201
sp-33,202,,,51.676,-19.109,Instruction 202
sp-34,203,,,47.756,-19.109,Computer Lab 203
sp-35,204,,,42.649,-19.109,Instruction 204
sp-36,205,,,37.745,-19.109,Instruction 205
sp-37,235,,,21.874,-13.746,Corridor 235
sp-38,210,,,11.462,-20.428,Men 210
sp-39,211,,,8.459,-20.428,Women 211
sp-40,212,,,4.134,-19.936,Lounge 212
sp-41,214,,,5.734,-16.325,Electrical 214
sp-42,216,,,5.734,3.534,Lobby 216
sp-43,217,,,-0,-17.644,Stair 217
sp-44,218,,,-5.564,-17.79,Instruction 218
sp-45,219,,,-5.564,-4.024,Library 219
sp-46,220,,,-4.473,3.534,Electrical 220
sp-47,221,,,-6.073,8.026,Instruction 221
sp-48,222,,,-5.564,12.602,Computer Lab 222
sp-49,223,,,-3.964,25.953,Lounge 223
sp-50,224,,,4.89,28.473,Caferteria 224
sp-51,225,,,6.49,25.45,Women 225
sp-52,226,,,10.264,25.45,Men 226
sp-53,227,,,8.664,23.35,Electrical 227
sp-54,228,,,10.264,28.473,Copy/Print 228
sp-55,229,,,14.966,25.953,Administration 229
sp-56,230,,,18.703,27.273,Office 230
sp-57,231,,,22.272,27.154,Office 231
sp-58,232,,,22.691,23.35,Toilet 232
sp-59,233,,,26.008,24.131,Stair 233
sp-60,234,,,4.782,20.537,Corridor 234
sp-88,206,,,33.862,-19.157,Lounge 206
sp-89,207,,,29.647,-19.181,Copy/Print 207
sp-90,208,,,24.969,-19.181,Drafting 208
sp-91,209,,,17.709,-19.255,Computer Lab 209
