id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-867,,,17.526,17.526,round,0.203,0.203,Supply Air,,
du-868,,,17.526,17.526,round,0.203,0.203,Supply Air,,
du-869,,,17.526,17.526,round,0.203,0.203,Supply Air,,
du-870,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-871,,,17.437,17.209,round,0.203,0.203,Supply Air,,
du-872,,,17.209,17.437,round,0.203,0.203,Supply Air,,
du-873,,,17.475,17.475,round,0.203,0.203,Supply Air,,
du-874,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-875,,,17.386,17.209,round,0.203,0.203,Supply Air,,
du-876,,,17.209,17.437,round,0.203,0.203,Supply Air,,
du-877,,,17.475,17.475,round,0.203,0.203,Supply Air,,
du-878,,,17.475,17.475,round,0.203,0.203,Supply Air,,
du-879,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-880,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-881,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-882,,,17.437,17.209,round,0.203,0.203,Supply Air,,
du-883,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-884,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-885,,,17.437,17.209,round,0.203,0.203,Supply Air,,
du-886,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-887,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-888,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-889,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-890,,,17.012,16.814,round,0.203,0.203,Supply Air,,
du-891,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-892,,,16.724,16.724,round,0.203,0.203,Supply Air,,
du-893,,,16.724,16.724,round,0.203,0.203,Supply Air,,
du-894,,,17.012,16.814,round,0.203,0.203,Supply Air,,
du-895,,,16.724,16.724,round,0.203,0.203,Supply Air,,
du-896,,,16.724,16.724,round,0.203,0.203,Supply Air,,
du-897,,,17.12,17.12,round,0.203,0.203,Supply Air,,
du-898,,,16.904,16.814,round,0.203,0.203,Supply Air,,
du-899,,,16.724,16.724,round,0.203,0.203,Supply Air,,
du-900,,,16.724,16.724,round,0.203,0.203,Supply Air,,
du-901,,,17.12,17.12,round,0.203,0.203,Return Air,,
du-902,,,17.386,17.209,round,0.203,0.203,Return Air,,
du-903,,,17.475,17.475,round,0.203,0.203,Return Air,,
du-904,,,17.12,17.12,round,0.203,0.203,Return Air,,
du-905,,,17.526,17.526,round,0.203,0.203,Return Air,,
du-906,,,17.12,17.12,round,0.203,0.203,Return Air,,
du-907,,,17.12,17.12,round,0.203,0.203,Return Air,,
du-908,,,17.31,17.209,round,0.203,0.203,Return Air,,
du-909,,,17.475,17.475,round,0.203,0.203,Return Air,,
du-910,,,17.475,17.475,round,0.203,0.203,Return Air,,
du-911,,,17.12,17.12,round,0.203,0.203,Return Air,,
du-912,,,17.12,17.12,round,0.203,0.203,Return Air,,
du-913,,,17.12,17.12,round,0.203,0.203,Return Air,,
du-914,,,17.12,17.12,round,0.203,0.203,Return Air,,
du-915,,,17.475,17.475,round,0.102,0.102,Supply Air,,
du-916,,,17.475,17.475,round,0.102,0.102,Exhaust Air,,
du-917,,,17.526,17.526,round,0.102,0.102,Supply Air,,
du-918,,,17.526,17.526,round,0.102,0.102,Exhaust Air,,
du-919,,,17.17,17.17,round,0.102,0.102,Exhaust Air,,
du-920,,,17.41,17.224,round,0.102,0.102,Exhaust Air,,
du-921,,,17.17,17.17,round,0.102,0.102,Supply Air,,
du-922,,,17.402,17.234,round,0.102,0.102,Supply Air,,
du-923,,,17.17,17.17,round,0.102,0.102,Exhaust Air,,
du-924,,,17.215,17.367,round,0.102,0.102,Exhaust Air,,
du-925,,,17.17,17.17,round,0.102,0.102,Supply Air,,
du-926,,,17.215,17.367,round,0.102,0.102,Supply Air,,
du-927,,,17.526,17.526,round,0.102,0.102,Exhaust Air,,
du-928,,,17.526,17.526,round,0.102,0.102,Exhaust Air,,
du-929,,,17.526,17.526,round,0.102,0.102,Supply Air,,
du-930,,,17.526,17.526,round,0.102,0.102,Supply Air,,
du-931,,,17.526,17.526,round,0.102,0.102,Exhaust Air,,
du-932,,,17.526,17.526,round,0.102,0.102,Supply Air,,
du-933,,,17.45,17.206,round,0.102,0.102,Exhaust Air,,
du-934,,,17.13,17.13,round,0.102,0.102,Exhaust Air,,
du-935,,,17.206,17.582,round,0.102,0.102,Exhaust Air,,
du-936,,,17.658,17.658,round,0.102,0.102,Exhaust Air,,
du-937,,,17.678,17.678,round,0.102,0.102,Supply Air,,
du-938,,,17.602,17.232,round,0.102,0.102,Supply Air,,
du-939,,,17.155,17.155,round,0.102,0.102,Supply Air,,
du-940,,,17.526,17.526,round,0.102,0.102,Supply Air,,
du-941,,,17.47,17.442,round,0.102,0.102,Supply Air,,
du-942,,,17.383,17.232,round,0.102,0.102,Supply Air,,
du-943,,,17.678,17.678,round,0.102,0.102,Supply Air,,
du-944,,,17.6,17.304,round,0.102,0.102,Supply Air,,
du-945,,,17.658,17.658,round,0.102,0.102,Exhaust Air,,
du-946,,,17.658,17.658,round,0.102,0.102,Exhaust Air,,
du-947,,,17.613,17.278,round,0.102,0.102,Exhaust Air,,
du-948,,,17.17,17.17,round,0.102,0.102,Exhaust Air,,
du-949,,,17.526,17.526,round,0.203,0.203,Supply Air,,
du-950,,,17.526,17.526,round,0.203,0.203,Supply Air,,
du-951,,,17.374,17.221,round,0.203,0.203,Supply Air,,
du-952,,,17.069,17.069,round,0.203,0.203,Supply Air,,
du-953,,,17.374,17.221,round,0.203,0.203,Supply Air,,
du-954,,,17.374,17.206,round,0.203,0.203,Supply Air,,
du-955,,,17.526,17.526,round,0.203,0.203,Supply Air,,
du-956,,,17.221,17.221,round,0.203,0.203,Return Air,,
du-957,,,17.221,17.221,round,0.203,0.203,Return Air,,
du-958,,,17.221,17.221,round,0.203,0.203,Return Air,,
du-959,,,17.526,17.526,round,0.203,0.203,Return Air,,
du-960,,,17.069,17.069,round,0.203,0.203,Return Air,,
