id,number,base_offset,top_level_id,top_offset,material,thickness
w-971,,0,,0,steel,0.124
w-972,,0,,0,steel,0.184
w-973,,0,,0,steel,0.124
w-974,,0,,0,steel,0.124
w-975,,0,,0,steel,0.124
w-976,,0,,0,steel,0.124
w-977,,0,,0,steel,0.124
w-978,,0,,0,steel,0.124
w-979,,0,,0,steel,0.057
w-980,,0,,0,steel,0.124
w-981,,0,,0,steel,0.124
w-982,,2.134,,0,steel,0.124
w-983,,0,,0,steel,0.184
w-984,,2.134,,0,steel,0.124
w-985,,0,,0,steel,0.184
w-986,,0,,0,steel,0.124
w-987,,0,,0,steel,0.124
w-988,,0,,0,steel,0.124
w-989,,0,,0,steel,0.321
w-990,,0,,0,steel,0.184
w-991,,0,,0,steel,0.124
w-992,,0,,0,steel,0.057
w-993,,0,,0,steel,0.057
w-994,,0,,0,steel,0.057
w-995,,0,,0,steel,0.184
w-996,,0,,0,steel,0.184
w-997,,2.134,,0,steel,0.124
w-998,,0,,0,steel,0.184
w-999,,0,,0,steel,0.124
w-1000,,0,,0,steel,0.124
w-1001,,0,,0,steel,0.124
w-1002,,0,,0,steel,0.184
w-1003,,-0.698,lv-19,-0.152,steel,0.267
w-1004,,-0.698,lv-19,-0.152,steel,0.235
w-1005,,-1.041,lv-19,-0.152,steel,0.47
w-1006,,-0.698,lv-19,-0.152,steel,0.235
w-1007,,-0.698,lv-19,-0.152,steel,0.235
w-1008,,-1.626,lv-19,-0.711,steel,0.267
w-1009,,-0.711,lv-19,-0.152,steel,0.267
w-1010,,-0.698,lv-19,-0.152,steel,0.286
w-1011,,0.279,,0.381,steel,0.013
w-1012,,0.279,,0.381,steel,0.013
w-1013,,0.279,,0.381,steel,0.013
w-1014,,0.279,,0.381,steel,0.013
w-1015,,0.279,,0.381,steel,0.013
w-1016,,0.279,,0.381,steel,0.013
w-1017,,0.279,,0.381,steel,0.013
w-1018,,0.279,,0.381,steel,0.013
w-1019,,0.279,,0.381,steel,0.013
w-1020,,0.279,,0.381,steel,0.013
w-1021,,0.279,,0.381,steel,0.013
w-1022,,0,,0,steel,0.184
w-1023,,2.438,,0,steel,0.108
w-1024,,2.438,,0,steel,0.108
w-1025,,2.438,,0,steel,0.108
w-1026,,2.438,,0,steel,0.108
w-1027,,-0.698,lv-19,-0.152,steel,0.267
w-1028,,-0.698,lv-19,-0.152,steel,0.267
w-1029,,-1.372,lv-19,-0.152,steel,0.267
w-1030,,-0.698,lv-19,-0.152,steel,0.267
w-1031,,-0.698,lv-19,-0.152,steel,0.267
w-1032,,-0.698,lv-19,-0.152,steel,0.267
w-1033,,-0.698,lv-19,-0.152,steel,0.267
w-1034,,-0.698,lv-19,-0.152,steel,0.267
w-1035,,-0.698,lv-19,-0.152,steel,0.235
w-1036,,-0.698,lv-19,-0.152,steel,0.267
w-1037,,-0.698,lv-19,-0.152,steel,0.267
w-1038,,2.438,,0,steel,0.108
w-1039,,2.438,,0,steel,0.108
w-1040,,2.438,,0,steel,0.108
w-1041,,2.438,,0,steel,0.108
w-1042,,-1.041,lv-19,-0.152,steel,0.321
w-1043,,-1.041,lv-19,-0.152,steel,0.321
w-1044,,-1.041,lv-19,-0.152,steel,0.321
w-1045,,-0.698,lv-19,-0.076,steel,0.235
w-1046,,-0.698,lv-19,-0.152,steel,0.235
w-1047,,-0.698,lv-19,-0.152,steel,0.235
w-1048,,0.279,,0.381,steel,0.013
w-1049,,0.279,,0.381,steel,0.013
w-1050,,0.279,,0.381,steel,0.013
w-1051,,0,,0,steel,0.184
w-1052,,0,,0,steel,0.184
w-1053,,0,,0,steel,0.184
w-1054,,0,,0,steel,0.184
w-1055,,-0.698,lv-19,-0.152,steel,0.267
w-1056,,-0.762,lv-19,-0.152,steel,0.267
w-1057,,-0.762,lv-19,-0.152,steel,0.47
w-1058,,-0.762,lv-19,-0.152,steel,0.267
w-1059,,-0.762,lv-19,-0.152,steel,0.267
w-1060,,-0.698,lv-19,-0.152,steel,0.267
w-1061,,-0.737,lv-19,-0.152,steel,0.267
