id,number,base_offset,material,function,thickness
sl-157,,0,steel,floor,0.006
sl-158,,0,steel,floor,0.006
sl-159,,2.924,steel,floor,0.111
sl-160,,2.924,steel,floor,0.111
sl-161,,0.356,composite,floor,0
sl-162,,0.711,composite,floor,0.102
sl-163,,0.711,composite,floor,0.102
sl-164,,0.711,composite,floor,0.102
sl-165,,0.33,composite,floor,0
sl-166,,0.33,composite,floor,0
sl-167,,0.406,composite,floor,0.127
sl-168,,0.305,composite,floor,0.051
sl-169,,0,concrete,floor,0.152
sl-170,,0,concrete,floor,0.152
sl-171,,0,steel,floor,0.006
sl-172,,-0.051,concrete,floor,0.102
sl-173,,2.924,steel,floor,0.111
sl-174,,-0.051,concrete,floor,0.102
sl-175,,0,concrete,floor,0.152
sl-176,,0,concrete,floor,0.152
sl-177,,0,concrete,floor,0.152
sl-178,,0,concrete,floor,0.152
sl-179,,0,concrete,floor,0.152
sl-180,,0,concrete,floor,0.152
sl-181,,0,concrete,floor,0.152
sl-182,,0.711,composite,floor,0.102
sl-183,,-0.711,concrete,floor,0.152
