id,number,base_offset,host_id,position,material,width,height,operation,hinge_position,swing_side
d-123,S15,0,w-11,0.116,aluminum,0.914,2.134,single_swing,end,left
d-124,S35,0,w-150,0.718,aluminum,0.914,2.134,single_swing,start,left
d-125,507B,0,w-232,0.64,aluminum,0.914,2.134,single_swing,start,right
d-126,506B,0,w-1022,0.773,aluminum,0.914,2.134,single_swing,start,right
d-127,506D,0,w-59,0.383,aluminum,0.914,2.134,single_swing,start,left
d-128,504B,0,w-57,0.466,aluminum,0.914,2.134,single_swing,start,left
d-129,S25,0,w-87,0.733,aluminum,0.914,2.134,single_swing,start,left
d-130,502A,0,w-130,0.278,aluminum,0.914,2.134,single_swing,start,left
d-131,507C,0,w-1051,0.568,aluminum,0.914,2.134,single_swing,start,left
d-132,502C,0.305,w-111,0.274,glass,0.864,2.134,single_swing,end,right
d-133,502B,0.305,w-113,0.341,glass,0.864,2.134,single_swing,end,right
d-134,507A,0.305,w-123,0.345,glass,0.864,2.134,single_swing,end,right
d-135,406,0,w-128,0.763,aluminum,0.914,2.134,single_swing,start,right
d-136,506OPN,0,w-973,0.511,composite,0,0,,start,left
d-137,504C,0,w-1052,0.568,aluminum,0.914,2.134,single_swing,start,left
d-138,502D,0,w-175,0.503,aluminum,0.914,2.134,single_swing,end,right
d-139,501A,0,w-120,0.555,aluminum,0.914,2.134,single_swing,start,left
d-140,501B,0,w-191,0.735,aluminum,0.914,2.134,single_swing,start,right
d-141,504A,0,w-282,0.086,glass,0.914,2.261,single_swing,end,right
d-142,506A,0,w-282,0.66,glass,0.914,2.261,single_swing,end,right
