id,number,base_offset,system_type,terminal_type
tm-189,288,0,,
tm-190,289,0,,
tm-191,290,0,,
tm-192,291,0,,
tm-193,294,0,,
tm-194,295,0,,
tm-195,373,0,,
tm-196,385,0,,
tm-197,420,0,,
tm-198,421,0,,
tm-199,432,0,,
tm-200,446,0,,
tm-201,447,0,,
tm-476,59,0,Supply Air,
tm-477,60,0,Supply Air,
tm-478,64,2.667,Supply Air,
tm-479,65,2.667,Supply Air,
tm-480,66,2.667,Supply Air,
tm-481,67,2.667,Supply Air,
tm-482,72,2.667,Supply Air,
tm-483,73,2.667,Supply Air,
tm-484,74,2.667,Supply Air,
tm-485,75,2.667,Supply Air,
tm-486,76,2.667,Supply Air,
tm-487,77,2.667,Supply Air,
tm-488,78,2.667,Supply Air,
tm-489,79,2.667,Supply Air,
tm-490,80,2.667,Supply Air,
tm-491,81,2.667,Supply Air,
tm-492,94,0,Exhaust Air,
tm-493,95,0,Exhaust Air,
tm-494,477,3.098,Supply Air,
tm-495,478,3.098,Supply Air,
tm-496,480,3.048,Supply Air,
tm-497,481,3.048,Supply Air,
tm-498,482,3.048,Supply Air,
tm-499,483,3.048,Supply Air,
tm-500,484,3.048,Supply Air,
tm-501,485,3.048,Supply Air,
tm-502,495,3.238,Supply Air,
tm-503,496,3.238,Supply Air,
tm-504,497,3.238,Supply Air,
tm-505,498,3.238,Supply Air,
tm-506,499,3.238,Supply Air,
tm-507,500,3.238,Supply Air,
tm-508,501,0,Supply Air,
tm-509,502,0,Supply Air,
tm-510,504,0,Exhaust Air,
tm-511,534,0,Supply Air,
tm-512,535,0,Supply Air,
tm-513,536,3.023,Supply Air,
tm-514,537,3.023,Supply Air,
tm-515,538,3.073,Supply Air,
tm-516,539,3.073,Supply Air,
tm-517,543,0,Exhaust Air,
tm-518,547,0,Supply Air,
tm-519,548,0,Supply Air,
tm-520,549,0,Supply Air,
tm-521,700,3.048,Return Air,
tm-522,701,3.048,Return Air,
tm-523,702,3.048,Return Air,
tm-524,706,0,Supply Air,
tm-525,707,0,Supply Air,
tm-526,708,3.124,Return Air,
tm-527,709,3.124,Return Air,
tm-528,711,3.124,Return Air,
tm-529,714,1.918,Supply Air,
tm-530,715,1.918,Supply Air,
tm-531,716,1.918,Supply Air,
tm-532,717,1.918,Supply Air,
tm-533,718,1.918,Supply Air,
tm-534,719,1.918,Supply Air,
tm-535,720,1.918,Supply Air,
tm-536,721,1.918,Supply Air,
