id,number,base_offset,system_type
mn-4,,2.667,Supply Air
mn-5,,3.098,Supply Air
mn-6,,3.098,Supply Air
mn-7,,2.692,Supply Air
mn-8,,2.692,Supply Air
mn-9,,2.692,Return Air
mn-10,,2.692,Return Air
mn-11,,3.048,Return Air
mn-12,,3.098,Return Air
mn-13,,3.238,Supply Air
mn-14,,2.692,Return Air
mn-15,,2.692,Supply Air
mn-16,,3.175,Supply Air
mn-17,,3.175,Supply Air
mn-18,,3.175,Supply Air
mn-19,,3.175,Supply Air
mn-20,,3.175,Supply Air
mn-21,,3.175,Exhaust Air
mn-22,,3.175,Exhaust Air
mn-23,,3.175,Exhaust Air
mn-24,,2.388,Exhaust Air
mn-25,,3.073,Supply Air
mn-26,,3.124,Supply Air
mn-27,,2.667,Supply Air
mn-28,,2.667,Supply Air
mn-29,,3.073,Supply Air
mn-30,,2.777,Supply Air
mn-31,,2.777,Supply Air
mn-32,,3.073,Supply Air
mn-33,,3.073,Supply Air
mn-34,,3.073,Supply Air
mn-35,,3.175,Supply Air
mn-36,,3.124,Return Air
mn-37,,3.124,Return Air
mn-38,,3.124,Return Air
mn-39,,3.124,Supply Air
mn-40,,3.124,Supply Air
mn-41,,3.124,Exhaust Air
mn-42,,3.124,Supply Air
mn-43,,2.388,Exhaust Air
mn-44,,2.667,Exhaust Air
mn-45,,2.388,Supply Air
mn-46,,2.388,Supply Air
mn-47,,1.918,Supply Air
mn-48,,1.918,Supply Air
mn-49,,1.918,Supply Air
mn-50,,1.918,Supply Air
mn-51,,1.918,Supply Air
mn-52,,1.918,Supply Air
mn-53,,1.918,Supply Air
mn-54,,2.356,Supply Air
mn-55,,2.356,Supply Air
mn-56,,2.356,Supply Air
mn-57,,1.791,Supply Air
mn-2136,,-2.87,Sanitary
mn-2137,,-1.024,Sanitary
mn-2138,,-0.61,Sanitary
mn-2139,,-0.61,Sanitary
mn-2140,,-0.305,Sanitary
mn-2141,,-0.587,Sanitary
mn-2142,,-0.305,Sanitary
mn-2143,,-0.587,Sanitary
mn-2144,,-1.193,Sanitary
mn-2145,,-2.458,Sanitary
mn-2146,,-2.204,Sanitary
mn-2147,,-1.232,Sanitary
mn-2148,,-1.156,Sanitary
