id,number,base_offset,system_type
mn-257,,3.302,Return Air
mn-258,,3.302,Return Air
mn-259,,3.302,Supply Air
mn-260,,3.302,Exhaust Air
mn-261,,3.302,Supply Air
mn-262,,3.302,Supply Air
mn-263,,3.302,Supply Air
mn-264,,3.654,Supply Air
mn-265,,3.099,Supply Air
mn-266,,3.099,Supply Air
mn-267,,3.099,Supply Air
mn-268,,3.099,Supply Air
mn-269,,3.099,Supply Air
mn-270,,3.654,Supply Air
mn-271,,3.302,Exhaust Air
mn-272,,3.302,Supply Air
mn-273,,2.953,Supply Air
mn-274,,2.953,Supply Air
mn-275,,2.953,Supply Air
mn-276,,2.953,Supply Air
mn-277,,3.302,Supply Air
mn-278,,3.658,Exhaust Air
mn-279,,3.658,Supply Air
mn-280,,3.658,Exhaust Air
mn-281,,3.658,Supply Air
mn-282,,3.658,Exhaust Air
mn-283,,3.262,Exhaust Air
mn-284,,3.262,Exhaust Air
mn-285,,3.79,Exhaust Air
mn-286,,3.658,Supply Air
mn-287,,3.81,Supply Air
mn-288,,3.287,Supply Air
mn-289,,3.287,Supply Air
mn-290,,3.658,Supply Air
mn-291,,3.546,Supply Air
mn-292,,3.81,Supply Air
mn-293,,3.81,Supply Air
mn-294,,3.79,Exhaust Air
mn-295,,3.79,Exhaust Air
mn-296,,3.79,Exhaust Air
mn-297,,3.302,Exhaust Air
mn-298,,3.658,Supply Air
mn-299,,3.2,Supply Air
mn-300,,3.658,Supply Air
mn-301,,3.2,Supply Air
mn-302,,3.658,Supply Air
mn-303,,3.277,Supply Air
mn-304,,2.472,Supply Air
mn-305,,3.658,Supply Air
mn-306,,3.353,Return Air
mn-307,,3.353,Return Air
mn-308,,3.353,Return Air
mn-309,,3.658,Return Air
mn-310,,3.2,Return Air
mn-311,,3.353,Return Air
mn-312,,3.2,Return Air
mn-313,,3.15,Exhaust Air
mn-314,,3.15,Exhaust Air
mn-315,,3.15,Supply Air
mn-316,,3.15,Supply Air
mn-317,,3.15,Exhaust Air
mn-318,,3.429,Exhaust Air
mn-319,,3.378,Supply Air
mn-320,,3.378,Supply Air
mn-321,,3.378,Supply Air
mn-322,,3.393,Return Air
mn-323,,3.393,Return Air
mn-324,,3.15,Return Air
mn-325,,3.759,Supply Air
mn-326,,3.759,Supply Air
mn-327,,3.15,Supply Air
mn-328,,3.393,Return Air
mn-329,,3.393,Return Air
mn-330,,3.393,Return Air
mn-331,,3.15,Supply Air
mn-332,,3.378,Supply Air
mn-333,,3.15,Exhaust Air
mn-334,,3.429,Exhaust Air
mn-335,,3.429,Exhaust Air
mn-336,,3.162,Supply Air
mn-337,,3.378,Supply Air
mn-338,,3.162,Supply Air
mn-339,,3.15,Supply Air
mn-340,,2.705,Supply Air
mn-341,,2.472,Supply Air
mn-342,,3.505,Return Air
mn-343,,3.302,Return Air
mn-344,,3.505,Return Air
mn-345,,3.505,Return Air
mn-346,,3.505,Return Air
mn-347,,3.302,Supply Air
mn-348,,3.302,Supply Air
mn-349,,2.718,Supply Air
mn-350,,2.472,Supply Air
mn-351,,3.045,Supply Air
mn-352,,3.045,Supply Air
mn-353,,3.302,Exhaust Air
mn-354,,3.81,Exhaust Air
mn-355,,3.024,Exhaust Air
mn-356,,3.302,Exhaust Air
mn-357,,3.024,Exhaust Air
mn-358,,3.81,Exhaust Air
mn-359,,3.302,Exhaust Air
mn-360,,3.302,Supply Air
mn-361,,3.302,Supply Air
mn-362,,3.302,Supply Air
mn-363,,3.81,Supply Air
mn-364,,3.81,Supply Air
mn-365,,3.251,Supply Air
mn-366,,3.658,Supply Air
mn-367,,3.251,Supply Air
mn-368,,3.251,Supply Air
mn-369,,3.251,Supply Air
mn-370,,3.658,Supply Air
mn-371,,3.607,Supply Air
mn-372,,3.607,Supply Air
mn-373,,3.607,Supply Air
mn-374,,3.658,Supply Air
mn-375,,3.251,Supply Air
mn-376,,3.251,Supply Air
mn-377,,3.251,Supply Air
mn-378,,3.251,Supply Air
mn-379,,3.251,Supply Air
mn-380,,3.658,Supply Air
mn-381,,3.658,Supply Air
mn-382,,3.251,Supply Air
mn-383,,3.251,Supply Air
mn-384,,3.251,Supply Air
mn-385,,3.251,Supply Air
mn-386,,2.856,Supply Air
mn-387,,2.856,Supply Air
mn-388,,2.856,Supply Air
mn-389,,3.251,Supply Air
mn-390,,2.856,Supply Air
mn-391,,2.856,Supply Air
mn-392,,2.856,Supply Air
mn-393,,3.251,Supply Air
mn-394,,2.856,Supply Air
mn-395,,2.856,Supply Air
mn-396,,2.856,Supply Air
mn-397,,3.251,Supply Air
mn-398,,3.251,Supply Air
mn-399,,3.251,Return Air
mn-400,,3.251,Return Air
mn-401,,3.251,Return Air
mn-402,,3.658,Return Air
mn-403,,3.251,Return Air
mn-404,,3.251,Return Air
mn-405,,3.607,Return Air
mn-406,,3.607,Return Air
mn-407,,3.607,Return Air
mn-408,,3.251,Return Air
mn-409,,3.251,Return Air
mn-410,,3.251,Return Air
mn-411,,3.251,Return Air
mn-412,,3.251,Return Air
mn-413,,3.658,Exhaust Air
mn-414,,3.302,Exhaust Air
mn-415,,3.658,Supply Air
mn-416,,3.302,Supply Air
mn-417,,3.302,Exhaust Air
mn-418,,3.607,Exhaust Air
mn-419,,3.302,Supply Air
mn-420,,3.607,Supply Air
mn-421,,-4.445,Return Air
mn-422,,3.391,Supply Air
mn-423,,3.391,Supply Air
mn-424,,3.391,Supply Air
mn-425,,3.391,Supply Air
mn-426,,3.391,Supply Air
mn-427,,3.391,Supply Air
mn-428,,3.391,Supply Air
mn-429,,3.251,Return Air
mn-430,,3.251,Return Air
mn-431,,3.251,Return Air
mn-432,,3.251,Return Air
mn-433,,3.251,Supply Air
mn-434,,2.692,Supply Air
mn-435,,2.472,Supply Air
mn-436,,3.251,Supply Air
mn-437,,3.035,Supply Air
mn-438,,3.035,Supply Air
mn-439,,3.251,Supply Air
mn-440,,3.251,Supply Air
mn-441,,3.251,Supply Air
mn-442,,3.251,Supply Air
mn-443,,3.251,Supply Air
mn-444,,3.251,Exhaust Air
mn-445,,3.251,Exhaust Air
mn-446,,3.658,Supply Air
mn-447,,3.251,Supply Air
mn-448,,3.658,Supply Air
mn-449,,3.302,Supply Air
mn-450,,3.251,Exhaust Air
mn-451,,3.658,Exhaust Air
mn-452,,3.251,Exhaust Air
mn-453,,3.658,Exhaust Air
mn-454,,3.302,Exhaust Air
mn-455,,3.302,Exhaust Air
mn-456,,3.251,Supply Air
mn-457,,3.391,Supply Air
mn-458,,3.391,Supply Air
mn-459,,3.391,Supply Air
mn-460,,3.391,Supply Air
mn-461,,3.391,Supply Air
mn-462,,3.391,Supply Air
mn-463,,3.391,Supply Air
mn-464,,3.251,Return Air
mn-465,,3.251,Return Air
mn-466,,3.251,Return Air
mn-467,,3.251,Return Air
mn-468,,3.251,Supply Air
mn-469,,2.692,Supply Air
mn-470,,2.472,Supply Air
mn-471,,3.251,Supply Air
mn-472,,3.035,Supply Air
mn-473,,3.035,Supply Air
mn-474,,3.035,Supply Air
mn-475,,3.251,Supply Air
mn-476,,3.251,Supply Air
mn-477,,3.251,Supply Air
mn-478,,3.251,Supply Air
mn-479,,3.251,Supply Air
mn-480,,3.251,Exhaust Air
mn-481,,3.251,Exhaust Air
mn-482,,3.658,Supply Air
mn-483,,3.251,Supply Air
mn-484,,3.658,Supply Air
mn-485,,3.086,Supply Air
mn-486,,3.251,Exhaust Air
mn-487,,3.658,Exhaust Air
mn-488,,3.251,Exhaust Air
mn-489,,3.658,Exhaust Air
mn-490,,3.086,Exhaust Air
mn-491,,3.086,Exhaust Air
mn-492,,3.251,Supply Air
mn-493,,3.251,Supply Air
mn-494,,3.251,Return Air
mn-495,,3.251,Return Air
mn-496,,3.251,Return Air
mn-497,,3.251,Supply Air
mn-498,,2.718,Supply Air
mn-499,,2.472,Supply Air
mn-500,,3.251,Exhaust Air
mn-501,,3.251,Exhaust Air
mn-502,,3.251,Exhaust Air
mn-503,,3.251,Exhaust Air
mn-504,,3.251,Supply Air
mn-505,,3.251,Supply Air
mn-506,,3.251,Exhaust Air
mn-507,,3.251,Exhaust Air
mn-508,,3.099,Exhaust Air
mn-509,,3.251,Supply Air
mn-510,,3.099,Supply Air
mn-511,,-3.696,Supply Air
mn-512,,-3.696,Supply Air
