id,number,base_offset,host_id,position,material,width,height,operation,hinge_position,swing_side
d-46,S13,0,w-11,0.116,aluminum,0.914,2.134,single_swing,end,left
d-47,S33,0,w-149,0.718,aluminum,0.914,2.134,single_swing,start,left
d-48,301B,0,w-30,0.098,aluminum,0.914,2.134,single_swing,start,left
d-49,303A,0,w-592,0.776,aluminum,0.914,2.134,single_swing,start,right
d-50,303B,0,w-454,0.304,aluminum,0.914,2.134,single_swing,start,left
d-51,306B,0,w-593,0.776,aluminum,0.914,2.134,single_swing,start,right
d-52,307A,0,w-591,0.773,aluminum,0.914,2.134,single_swing,start,right
d-53,307C,0,w-458,0.345,aluminum,0.914,2.134,single_swing,start,left
d-54,306A,0,w-455,0.683,aluminum,0.914,2.134,single_swing,end,right
d-55,308A,0.254,w-456,0.127,aluminum,0.914,2.134,single_swing,end,right
d-56,309A,0,w-493,0.337,aluminum,0.914,2.134,single_swing,end,right
d-57,304A,0,w-453,0.451,aluminum,0.914,2.134,single_swing,start,left
d-58,204,0,w-494,0.763,aluminum,0.914,2.134,single_swing,start,right
d-59,S23,0,w-87,0.733,aluminum,0.914,2.134,single_swing,start,left
d-60,302A,0,w-130,0.278,aluminum,0.914,2.134,single_swing,start,left
d-61,308B,0,w-497,0.78,aluminum,0.914,2.134,single_swing,start,left
d-62,309B,0,w-637,0.568,aluminum,0.914,2.134,single_swing,start,left
d-63,307OPN,0,w-483,0.511,composite,0,0,,start,left
d-64,304B,0,w-638,0.568,aluminum,0.914,2.134,single_swing,start,left
d-65,302B,0,w-533,0.663,aluminum,0.914,2.134,single_swing,start,right
d-66,301C,0,w-549,0.735,aluminum,0.914,2.134,single_swing,start,right
d-67,303OPN,0,w-461,0.514,composite,0,0,,start,left
d-68,301A,-0,w-32,0.666,glass,0.914,2.261,single_swing,end,right
d-69,307D,0,w-282,0.496,glass,0.914,2.261,single_swing,end,right
