id,number,base_offset,host_id,position,material,width,height
wn-5,109,0.825,w-282,0.127,glass,1.27,1.524
wn-6,110,0.825,w-282,0.25,glass,1.27,1.524
wn-7,114,0.826,w-282,0.742,glass,1.27,1.524
wn-8,116,0.825,w-282,0.66,glass,1.27,1.524
wn-9,117,0.825,w-282,0.824,glass,1.27,1.524
wn-10,118,0.825,w-282,0.947,glass,1.27,1.524
wn-11,147,0.825,w-32,0.418,glass,1.27,1.524
wn-12,184,1.092,w-510,0.688,glass,0.991,1.93
wn-13,185,1.092,w-510,0.274,glass,0.991,1.93
wn-14,169,1.092,w-513,0.688,glass,0.991,1.93
wn-15,170,1.092,w-513,0.274,glass,0.991,1.93
wn-16,176,1.092,w-516,0.688,glass,0.991,1.93
wn-17,177,1.092,w-516,0.274,glass,0.991,1.93
wn-18,180,0.527,w-518,0.15,glass,1.257,2.476
wn-19,181,0.521,w-518,0.301,glass,1.257,2.476
wn-20,121,0.648,w-564,0.155,composite,1.092,2.438
wn-21,123,0.648,w-564,0.394,composite,1.092,2.438
wn-22,124,0.648,w-564,0.633,composite,1.092,2.438
wn-23,128,0.648,w-564,0.873,composite,1.092,2.438
wn-24,188,0.527,w-518,0.451,glass,1.257,2.476
wn-25,189,0.527,w-518,0.637,glass,1.257,2.476
wn-26,190,0.527,w-518,0.787,glass,1.257,2.476
wn-27,191,0.527,w-518,0.933,glass,1.257,2.476
wn-28,204,0.527,w-571,0.488,glass,1.257,2.476
wn-29,205,0.527,w-571,0.686,glass,1.257,2.476
wn-30,206,0.527,w-571,0.884,glass,1.257,2.476
wn-31,207,0.527,w-571,0.196,glass,1.867,2.476
wn-32,217,2.438,w-264,0.485,composite,0.61,0.66
wn-33,218,2.438,w-260,0.485,composite,0.61,0.66
wn-34,220,2.464,w-581,0.5,composite,0.559,0.61
wn-35,225,2.464,w-582,0.5,composite,0.559,0.61
wn-36,192,0.825,w-32,0.252,glass,1.27,1.524
wn-37,90,0.825,w-282,0.332,glass,1.27,1.524
wn-111,8,1.346,w-1124,0.479,composite,0.254,0.457
wn-112,9,1.346,w-1125,0.491,composite,0.254,0.457
wn-113,10,1.346,w-1126,0.491,composite,0.254,0.457
wn-114,11,1.346,w-1127,0.491,composite,0.254,0.457
wn-115,12,1.346,w-1128,0.491,composite,0.254,0.457
wn-116,13,1.346,w-1129,0.491,composite,0.254,0.457
wn-117,14,1.346,w-1130,0.491,composite,0.254,0.457
wn-118,24,0.648,w-1086,0.148,glass,1.092,2.438
wn-119,27,0.648,w-1086,0.372,glass,1.092,2.438
wn-120,30,0.648,w-1086,0.597,glass,1.092,2.438
wn-121,33,0.648,w-1086,0.821,glass,1.092,2.438
wn-122,52,0.521,w-1083,0.15,glass,1.27,2.489
wn-123,53,0.521,w-1083,0.301,glass,1.27,2.489
wn-124,54,0.521,w-1083,0.451,glass,1.27,2.489
wn-125,55,0.521,w-1083,0.637,glass,1.27,2.489
wn-126,56,0.521,w-1083,0.787,glass,1.27,2.489
wn-127,57,0.521,w-1083,0.933,glass,1.27,2.489
wn-128,58,0.521,w-1084,0.2,glass,1.88,2.489
wn-129,59,0.521,w-1084,0.474,glass,1.27,2.489
wn-130,60,0.521,w-1084,0.661,glass,1.27,2.489
wn-131,61,0.521,w-1084,0.847,glass,1.27,2.489
wn-132,72,0.813,w-1134,0.653,glass,0.61,1.067
wn-133,73,0.965,w-1135,0.663,glass,0.61,1.067
wn-134,74,0.861,w-1136,0.36,glass,0.61,1.067
wn-135,75,1.143,w-1139,0.5,glass,0.61,1.067
