id,number,base_offset,system_type,equipment_type
eq-14,HRU204,3.146,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-15,HRU303,3.095,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-16,HRU106A,3.505,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-17,HRU308,3.095,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-18,HRU309,3.146,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-19,HRU307,2.994,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-20,HRU304,3.502,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-21,HRU301A,3.451,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-22,HRU301B,3.502,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-23,HRU306,3.095,"Return Air,Supply Air,Exhaust Air,Supply Air,Power",
eq-55,9,0,,
eq-56,15,-0,,
eq-57,16,0,,
eq-58,178,0,,
eq-59,179,0,,
eq-60,180,0,,
eq-61,181,0,,
eq-62,183,-0,,
eq-63,185,2.997,,
