id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
c-65,,0,lv-17,-0.152,composite,rect,0.61,0.61
c-66,,0,lv-17,0,composite,rect,0.61,0.61
c-67,,0,lv-17,-0.152,composite,rect,0.61,0.61
c-68,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-69,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-70,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-71,,0,lv-17,0,gypsum,rect,0.61,0.61
c-72,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-73,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-74,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-75,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-76,,-0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-77,,-0,lv-17,-0.152,gypsum,rect,0.508,0.61
c-78,,0,lv-17,0,gypsum,rect,0.61,0.61
c-79,,-0,lv-17,0,gypsum,rect,0.61,0.813
c-80,,0,lv-17,-0.152,gypsum,rect,0.559,0.61
c-81,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-82,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-83,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-84,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
