id,number,base_offset,system_type
mn-3741,,-15.558,Sanitary
mn-3742,,-14.338,Sanitary
mn-3743,,-14.318,Sanitary
mn-3744,,-17.449,Sanitary
mn-3745,,1.191,Sanitary
mn-3746,,1.174,Sanitary
mn-3747,,-14.066,Sanitary
mn-3748,,-14.082,Sanitary
mn-3749,,-16.832,Sanitary
mn-3750,,-17.026,Sanitary
mn-3751,,-13.945,Sanitary
mn-3752,,-14.096,Sanitary
mn-3753,,1.242,Sanitary
mn-3754,,1.19,Sanitary
mn-3755,,-17.845,Sanitary
mn-3756,,-17.635,Sanitary
mn-3757,,-17.425,Sanitary
mn-3758,,-17.717,Sanitary
mn-3759,,-18.382,Sanitary
mn-3760,,-18.686,Sanitary
mn-3761,,-18.741,Sanitary
mn-3762,,-19.476,Sanitary
mn-3763,,-19.327,Sanitary
mn-3764,,-18.324,Sanitary
mn-3765,,-18.321,Sanitary
mn-3766,,-19.474,Sanitary
mn-3767,,-19.845,Sanitary
mn-3768,,-19.845,Sanitary
mn-3769,,-19.834,Sanitary
mn-3770,,-15.837,Sanitary
mn-3771,,-18.288,Sanitary
mn-3772,,-18.288,Sanitary
mn-3773,,-19.858,Sanitary
mn-3774,,-20.726,Sanitary
mn-3775,,-21.104,Sanitary
mn-3776,,-21.54,Sanitary
mn-3777,,1.112,Sanitary
mn-3778,,1.192,Sanitary
mn-3779,,1.158,Sanitary
mn-3780,,1.15,Sanitary
mn-3781,,1.143,Sanitary
mn-3782,,1.151,Sanitary
mn-3783,,1.081,Sanitary
mn-3784,,1.092,Sanitary
mn-3785,,1.16,Sanitary
mn-3786,,1.115,Sanitary
mn-3787,,1.108,Sanitary
mn-3788,,-19.84,Sanitary
mn-3789,,-19.202,Sanitary
mn-3790,,-17.635,Sanitary
mn-3791,,1.011,Sanitary
mn-3792,,1.016,Sanitary
mn-3793,,1.111,Sanitary
mn-3794,,1.087,Sanitary
mn-3795,,1.038,Sanitary
mn-3796,,1.021,Sanitary
mn-3797,,1.092,Sanitary
mn-3798,,1.059,Sanitary
