id,number,base_offset,material,function,thickness
sl-11,,-0.051,"Concrete, Precast Smooth, Light Grey",floor,0.152
sl-24,,-0,Stone Tiles,floor,0.051
sl-25,,-0,Stone Tiles,floor,0.051
sl-26,,-0,Stone Tiles,floor,0.051
sl-33,,-0,Paving - Brick Border,floor,0.051
sl-34,,-0,Paving - Brick Border,floor,0.051
sl-35,,-0,Paving - Brick Border,floor,0.051
sl-36,,-0,Paving - Brick Border,floor,0.051
sl-37,,0.432,Planting Bed,floor,0.102
sl-38,,0.051,Grass - Turf,floor,0
sl-39,,-0,Exterior Decking,floor,0.051
sl-40,,0.432,Planting Bed,floor,0.102
sl-41,,0.432,Planting Bed,floor,0.102
sl-42,,0.051,Grass - Turf,floor,0
sl-43,,0.051,Sculpture Bed,floor,0.127
sl-44,,0.076,Sculpture Bed,floor,0.127
sl-45,,0.432,Planting Bed,floor,0.102
sl-46,,-0,Exterior Decking,floor,0.051
sl-47,,-0,Exterior Decking,floor,0.051
sl-48,,-0,Exterior Decking,floor,0.051
sl-49,,-0,Exterior Decking,floor,0.051
sl-50,,-0,Exterior Decking,floor,0.051
sl-51,,0.432,Planting Bed,floor,0.102
sl-52,,0.432,Planting Bed,floor,0.102
sl-53,,0.076,Sculpture Bed,floor,0.127
sl-89,,0.025,"Concrete, Cast-in-Place gray",floor,0.102
sl-99,,0.025,"Concrete, Cast-in-Place gray",floor,0.102
