id,number,base_offset,material,function,thickness
sl-42,,-0.051,concrete,floor,0.152
sl-43,,-0,stone,floor,0.051
sl-44,,-0,stone,floor,0.051
sl-45,,-0,stone,floor,0.051
sl-46,,-0,brick,floor,0.051
sl-47,,-0,brick,floor,0.051
sl-48,,-0,brick,floor,0.051
sl-49,,-0,brick,floor,0.051
sl-50,,0.432,composite,floor,0.102
sl-51,,0.051,composite,floor,0
sl-52,,-0,composite,floor,0.051
sl-53,,0.432,composite,floor,0.102
sl-54,,0.432,composite,floor,0.102
sl-55,,0.051,composite,floor,0
sl-56,,0.051,composite,floor,0.127
sl-57,,0.076,composite,floor,0.127
sl-58,,0.432,composite,floor,0.102
sl-59,,-0,composite,floor,0.051
sl-60,,-0,composite,floor,0.051
sl-61,,-0,composite,floor,0.051
sl-62,,-0,composite,floor,0.051
sl-63,,-0,composite,floor,0.051
sl-64,,0.432,composite,floor,0.102
sl-65,,0.432,composite,floor,0.102
sl-66,,0.076,composite,floor,0.127
sl-67,,0.025,concrete,floor,0.102
sl-68,,0.025,concrete,floor,0.102
