id,number,base_offset,top_level_id,top_offset,material,thickness
w-309,,-0.152,lv-4,0,concrete,0.61
w-310,,-0.152,lv-4,0,concrete,0.61
w-311,,-0.152,lv-4,0,concrete,0.61
w-312,,-0.152,lv-4,0,concrete,0.305
w-313,,-0.152,lv-4,0,concrete,0.457
w-314,,-0.152,lv-4,0,concrete,0.61
w-315,,-0.152,lv-4,0,concrete,0.61
w-316,,0,lv-4,0,concrete,0.254
w-317,,0,lv-4,0,concrete,0.457
w-318,,0,lv-4,0,concrete,0.254
w-319,,-0.152,lv-4,-0.61,concrete,0.61
w-320,,-0.152,lv-4,-0.61,concrete,0.61
w-321,,0,lv-4,0,concrete,0.194
w-322,,0,lv-4,0,concrete,0.194
w-323,,0,lv-4,0,concrete,0.194
w-324,,0,lv-4,0,concrete,0.194
w-325,,-1.829,lv-3,0,concrete,0.254
w-326,,-1.829,lv-3,-0.152,concrete,0.254
w-327,,-1.829,lv-3,0,concrete,0.254
w-328,,-1.829,lv-3,0,concrete,0.457
w-329,,-1.829,lv-3,0,concrete,0.254
w-330,,-1.829,lv-3,0,concrete,0.254
w-331,,-1.829,lv-3,0,concrete,0.457
w-332,,-1.829,lv-3,0,concrete,0.457
w-1070,,0,lv-4,0,composite,0.102
