id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1360,,,-3.394,-3.538,round,0.025,0.025,Domestic Cold Water,,
pi-1361,,,-3.213,-3.299,round,0.025,0.025,Domestic Cold Water,,
pi-1362,,,-3.394,-3.538,round,0.025,0.025,Domestic Cold Water,,
pi-1363,,,-3.394,-3.538,round,0.025,0.025,Domestic Cold Water,,
pi-1364,,,-3.299,-3.213,round,0.025,0.025,Domestic Cold Water,,
pi-1365,,,-3.299,-3.213,round,0.025,0.025,Domestic Cold Water,,
pi-1366,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1367,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1368,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1369,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1370,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1371,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1372,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1373,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1374,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1375,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1376,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1377,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1378,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1379,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1380,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1381,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1382,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1383,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1384,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1385,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1386,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1387,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1388,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1389,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1390,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1391,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1392,,,-3.538,-3.394,round,0.025,0.025,Domestic Cold Water,,
pi-1393,,,-5.572,-5.999,round,0.254,0.254,Sanitary,,
pi-1394,,,-2.442,-2.474,round,0.051,0.051,Sanitary,,
pi-1395,,,-2.485,-2.475,round,0.051,0.051,Sanitary,,
pi-1396,,,-1.927,-2.222,round,0.051,0.051,Sanitary,,
pi-1397,,,-2.301,-2.33,round,0.051,0.051,Sanitary,,
pi-1398,,,-2.332,-2.335,round,0.051,0.051,Sanitary,,
pi-1399,,,-2.376,-2.689,round,0.051,0.051,Sanitary,,
pi-1400,,,-2.563,-2.659,round,0.051,0.051,Sanitary,,
pi-1401,,,-4.921,-5.019,round,0.051,0.051,Sanitary,,
pi-1402,,,-5.413,-5.117,round,0.051,0.051,Sanitary,,
pi-1403,,,-5.49,-5.49,round,0.051,0.051,Sanitary,,
pi-1404,,,-4.823,-4.545,round,0.051,0.051,Sanitary,,
pi-1405,,,-4.467,-4.467,round,0.051,0.051,Sanitary,,
