id,number,base_offset,system_type
mn-2282,,1.219,Domestic Cold Water
mn-2283,,0.914,Domestic Cold Water
mn-2284,,2.681,Sanitary
mn-2285,,2.671,Sanitary
mn-2286,,2.856,Sanitary
mn-2287,,2.825,Sanitary
mn-2288,,2.821,Sanitary
mn-2289,,0.276,Sanitary
mn-2290,,-0.334,Sanitary
mn-2291,,-0.334,Sanitary
mn-2292,,0.096,Sanitary
mn-2293,,0.689,Sanitary
mn-2294,,0.689,Sanitary
mn-2295,,2.134,Sanitary
mn-2296,,2.418,Sanitary
mn-2297,,2.688,Sanitary
mn-2298,,2.712,Sanitary
mn-2299,,1.219,Domestic Cold Water
mn-2300,,0.914,Domestic Cold Water
mn-2301,,17.704,Domestic Cold Water
mn-2302,,17.704,Domestic Cold Water
mn-2303,,22.39,Domestic Cold Water
mn-2304,,22.39,Domestic Cold Water
mn-2305,,14.262,Domestic Cold Water
mn-2306,,8.077,Domestic Cold Water
mn-2307,,8.077,Domestic Cold Water
mn-2308,,8.077,Domestic Cold Water
mn-2309,,11.354,Domestic Cold Water
mn-2310,,11.354,Domestic Cold Water
mn-2311,,10.693,Domestic Cold Water
mn-2312,,10.693,Domestic Cold Water
mn-2313,,11.303,Domestic Cold Water
mn-2314,,11.303,Domestic Cold Water
mn-2315,,11.354,Domestic Cold Water
mn-2316,,5.613,Domestic Cold Water
mn-2317,,5.613,Domestic Cold Water
mn-2318,,6.223,Domestic Cold Water
mn-2319,,4.305,Domestic Cold Water
mn-2320,,5.017,Domestic Cold Water
mn-2321,,3.277,Domestic Cold Water
mn-2322,,3.277,Domestic Cold Water
mn-2323,,3.277,Domestic Cold Water
mn-2324,,3.277,Domestic Cold Water
mn-2325,,18.44,Domestic Cold Water
mn-2326,,18.44,Domestic Cold Water
mn-2327,,3.277,Domestic Cold Water
mn-2328,,3.277,Domestic Cold Water
mn-2329,,3.277,Domestic Cold Water
mn-2330,,3.277,Domestic Cold Water
mn-2331,,14.376,Domestic Cold Water
mn-2332,,14.376,Domestic Cold Water
mn-2333,,1.067,Domestic Cold Water
mn-2334,,1.067,Domestic Cold Water
mn-2335,,3.277,Domestic Cold Water
mn-2336,,3.277,Domestic Cold Water
mn-2337,,3.277,Domestic Cold Water
