id,number,base_offset,top_level_id,top_offset,material,thickness
w-333,,-1.041,lv-28,-0.152,steel,0.47
w-334,,-0.698,lv-28,-0.152,steel,0.235
w-335,,-0.203,,0,composite,0.102
w-336,,0.025,,0,composite,0.102
w-337,,-0.203,,0,composite,0.102
w-338,,0.025,,0,composite,0.102
w-339,,-0.698,lv-28,-0.152,steel,0.267
w-340,,-0.698,lv-28,-0.152,steel,0.267
w-341,,-0.698,lv-28,-0.152,steel,0.267
w-342,,-0.698,lv-28,-0.152,steel,0.267
w-343,,-0.698,lv-28,-0.152,steel,0.267
w-344,,-0.698,lv-28,-0.152,steel,0.235
w-345,,-0.698,lv-28,-0.152,steel,0.267
w-346,,-0.698,lv-28,-0.152,steel,0.267
w-347,,-0.698,lv-28,-0.152,steel,0.235
w-348,,-0.698,lv-28,-0.152,steel,0.235
w-349,,-0.698,lv-28,-0.152,steel,0.235
w-350,,-1.041,lv-28,-0.152,steel,0.321
w-351,,-1.041,lv-28,-0.152,steel,0.321
w-352,,-1.041,lv-28,-0.152,steel,0.321
w-353,,-0.762,lv-28,-0.152,steel,0.267
w-354,,-0.762,lv-28,-0.152,steel,0.47
w-355,,-0.762,lv-28,-0.152,steel,0.267
w-356,,-0.762,lv-28,-0.152,steel,0.267
w-357,,-0.737,lv-28,-0.152,steel,0.267
