id,number,base_offset,system_type
mn-1063,,2.743,Exhaust Air
mn-1064,,1.067,Domestic Hot Water
mn-1065,,1.067,Domestic Hot Water
mn-1066,,0.61,Domestic Hot Water
mn-1067,,0.406,Domestic Hot Water
mn-1068,,0.457,Domestic Hot Water
mn-1069,,0.457,Domestic Hot Water
mn-1070,,0.406,Domestic Hot Water
mn-1071,,0.457,Domestic Hot Water
mn-1072,,0.406,Domestic Hot Water
mn-1073,,0.457,Domestic Hot Water
mn-1074,,0.203,Sanitary
mn-1075,,-0.864,Sanitary
mn-1076,,-0.864,Sanitary
mn-1077,,-0.864,Sanitary
mn-1078,,-0.259,Sanitary
mn-1079,,3.048,Sanitary
mn-1080,,1.067,Domestic Cold Water
mn-1081,,1.067,Domestic Cold Water
mn-1082,,0.66,Domestic Cold Water
mn-1083,,0.356,Domestic Cold Water
mn-1084,,0.457,Domestic Cold Water
mn-1085,,0.356,Domestic Cold Water
mn-1086,,0.457,Domestic Cold Water
mn-1087,,0.203,Domestic Cold Water
mn-1088,,0.356,Domestic Cold Water
mn-1089,,0.356,Domestic Cold Water
mn-1090,,0.203,Domestic Cold Water
mn-1091,,-0.691,Sanitary
mn-1092,,-0.768,Sanitary
mn-1093,,0.914,Domestic Cold Water
mn-1094,,0.559,Domestic Cold Water
mn-1095,,0.914,Domestic Cold Water
mn-1096,,0.914,Domestic Cold Water
mn-1097,,0.941,Domestic Cold Water
mn-1098,,0.66,Domestic Cold Water
mn-1099,,0.61,Domestic Hot Water
mn-1100,,0.61,Domestic Hot Water
mn-1101,,0.559,Domestic Cold Water
mn-1102,,0.66,Domestic Cold Water
mn-1103,,0.887,Domestic Cold Water
mn-1104,,0.203,Domestic Cold Water
mn-3921,,-0.762,CableTrayConduit
mn-3922,,-0.762,CableTrayConduit
mn-3923,,-0.762,CableTrayConduit
mn-3924,,-0.762,CableTrayConduit
mn-3925,,-0.762,CableTrayConduit
mn-3926,,-0.762,CableTrayConduit
mn-3927,,-0.762,CableTrayConduit
mn-3928,,-0.762,CableTrayConduit
mn-3929,,-0.762,CableTrayConduit
mn-3930,,-0.762,CableTrayConduit
mn-3931,,-0.762,CableTrayConduit
mn-3932,,-0.762,CableTrayConduit
mn-3933,,-0.762,CableTrayConduit
mn-3934,,-0.762,CableTrayConduit
mn-3935,,-0.762,CableTrayConduit
mn-3936,,-0.762,CableTrayConduit
mn-3937,,-0.762,CableTrayConduit
mn-3938,,-0.762,CableTrayConduit
mn-3939,,-0.762,CableTrayConduit
mn-3940,,-0.762,CableTrayConduit
mn-3941,,-0.762,CableTrayConduit
mn-3942,,-0.762,CableTrayConduit
mn-3943,,-0.762,CableTrayConduit
mn-3944,,-0.762,CableTrayConduit
mn-3945,,-0.762,CableTrayConduit
mn-3946,,-0.762,CableTrayConduit
mn-3947,,-0.762,CableTrayConduit
mn-3948,,-0.762,CableTrayConduit
mn-3949,,-0.762,CableTrayConduit
mn-3950,,-0.762,CableTrayConduit
mn-3951,,-0.762,CableTrayConduit
mn-3952,,-0.762,CableTrayConduit
mn-3953,,-0.762,CableTrayConduit
mn-3954,,-0.762,CableTrayConduit
mn-3955,,-1.067,CableTrayConduit
mn-3956,,-1.067,CableTrayConduit
mn-3957,,-1.067,CableTrayConduit
mn-3958,,-1.067,CableTrayConduit
mn-3959,,-1.067,CableTrayConduit
mn-3960,,-1.067,CableTrayConduit
mn-3961,,-0.914,CableTrayConduit
