id,number,base_offset,host_id,position,material,width,height,operation,hinge_position,swing_side
d-19,S16,0.381,w-11,0.116,aluminum,0.914,2.134,single_swing,end,left
d-20,R100A,0.381,w-64,0.878,aluminum,0.914,2.134,single_swing,start,right
d-21,R100E,0.381,w-64,0.385,aluminum,0.914,2.134,single_swing,end,right
d-22,R100D,0.381,w-63,0.497,steel,1.829,2.134,double_swing,start,left
d-23,R103A,0.381,w-77,0.25,steel,1.829,2.134,double_swing,start,left
d-24,R103B,0.381,w-77,0.742,steel,1.829,2.134,double_swing,start,left
d-25,S26,0.381,w-87,0.733,aluminum,0.914,2.134,single_swing,start,left
d-26,R100B,0.381,w-94,0.565,aluminum,0.914,2.134,single_swing,start,left
d-27,R100C,0.381,w-93,0.578,aluminum,0.914,2.134,single_swing,start,left
d-28,S36,0.381,w-150,0.718,aluminum,0.914,2.134,single_swing,start,left
