id,number,base_offset,system_type,equipment_type
eq-80,22,0,,
eq-81,23,0,,
eq-82,24,0,,
eq-83,25,0,,
eq-84,33,0,,
eq-85,37,-0,,
eq-86,38,-0,,
eq-87,39,-0,,
eq-88,40,-0,,
eq-89,41,-0,,
eq-90,42,-0,,
eq-91,43,0,,
eq-92,44,0,,
eq-93,45,0,,
eq-94,46,0,,
eq-95,47,0,,
eq-96,48,0,,
eq-97,52,0,,
eq-98,53,0,,
eq-99,54,0,,
eq-100,58,0,,
eq-101,59,0,,
eq-102,63,0,,
eq-103,64,0,,
eq-104,66,-0,,
eq-105,67,-0,,
eq-106,68,0,,
eq-107,69,0,,
eq-108,70,0,,
eq-109,75,0,,
eq-110,76,0,,
eq-111,77,0,,
eq-112,78,0,,
eq-113,79,0,,
eq-114,83,0,,
eq-115,84,0,,
eq-116,85,0,,
eq-117,86,0,,
eq-118,87,0,,
eq-119,91,0,,
eq-120,92,0,,
eq-121,93,0,,
eq-122,94,0,,
eq-123,95,0,,
eq-124,98,0,,
eq-125,99,0,,
eq-126,100,0,,
eq-127,101,0,,
eq-128,102,0,,
eq-129,107,0,,
eq-130,108,0,,
eq-131,109,0,,
eq-132,110,0,,
eq-133,114,0,,
eq-134,115,0,,
eq-135,116,0,,
eq-136,117,0,,
eq-137,120,0,,
eq-138,122,0,,
eq-139,123,0,,
eq-140,124,0,,
eq-141,125,0,,
eq-142,126,0,,
eq-143,127,0,,
eq-144,128,0,,
eq-145,129,0,,
eq-146,130,0,,
eq-147,134,0,,
eq-148,135,0,,
eq-149,136,0,,
eq-150,137,0,,
eq-151,138,0,,
eq-152,139,0,,
eq-153,140,-1.067,,
eq-154,141,0,,
eq-155,142,0,,
eq-156,143,0,,
eq-157,144,0,,
eq-158,145,0,,
eq-159,146,0,,
eq-160,147,0,,
eq-161,148,0,,
eq-162,149,0,,
eq-163,150,0,,
eq-164,151,0,,
eq-165,152,0,,
eq-166,153,0,,
eq-167,154,0,,
eq-168,155,0,,
eq-169,156,0,,
eq-170,157,0,,
eq-171,158,0,,
eq-172,159,0,,
eq-173,191,-0,,
