id,number,base_offset,mesh_file,top_level_id,top_offset,material,thickness
w-62,,0,,lv-4,0,steel,0.138
w-63,,0,,lv-4,0,steel,0.138
w-64,,0,,lv-4,0,steel,0.138
w-65,,0,,lv-4,0,steel,0.138
w-66,,0,,lv-4,0,steel,0.138
w-67,,0,,lv-4,0,steel,0.138
w-68,,0,,lv-4,0,steel,0.138
w-69,,0,,lv-4,0,steel,0.138
w-70,,0,,lv-4,0,steel,0.138
w-71,,0,,lv-4,0,steel,0.138
w-72,,0,,lv-4,0,steel,0.138
w-73,,0,,lv-4,0,steel,0.138
w-74,,0,,lv-4,0,steel,0.138
w-75,,0,,lv-4,0,steel,0.138
w-76,,0,,lv-4,0,steel,0.138
w-77,,0,,lv-4,0,steel,0.138
w-79,,0,,lv-4,0,steel,0.138
w-109,,0,,lv-4,0,steel,0.138
w-110,,0,,lv-4,0,steel,0.138
w-111,,0,,lv-4,0,steel,0.138
w-112,,0,,lv-4,0,steel,0.138
w-113,,0,,lv-4,0,steel,0.138
w-114,,0,,lv-4,0,steel,0.138
w-115,,0,,lv-4,0,steel,0.138
w-116,,0,,lv-4,0,steel,0.138
w-117,,0,,lv-4,0,steel,0.138
w-118,,0,,lv-4,0,steel,0.138
w-119,,0,,lv-4,0,steel,0.138
w-120,,0,,lv-4,0,steel,0.138
w-121,,0,,lv-4,0,steel,0.138
w-122,,0,,lv-4,0,steel,0.138
w-123,,0,,lv-4,0,steel,0.138
