id,number,base_offset,mesh_file,top_level_id,top_offset,material,shape,size_x,size_y
sc-110,,0,,lv-4,0,concrete,,0.3,
sc-111,,0,,lv-4,0,concrete,,0.3,
sc-112,,0,,lv-4,0,concrete,,0.3,
sc-113,,0,,lv-4,0,concrete,,0.3,
sc-114,,0,,lv-4,0,concrete,,0.3,
sc-115,,0,,lv-4,0,concrete,,0.3,
sc-116,,0,,lv-4,0,concrete,,0.3,
sc-117,,0,,lv-4,0,concrete,,0.3,
sc-118,,0,,lv-4,0,concrete,,0.3,
sc-119,,0,,lv-4,0,concrete,,0.3,
sc-120,,0,,lv-4,0,concrete,,0.3,
sc-121,,0,,lv-4,0,concrete,,0.3,
sc-122,,0,,lv-4,0,concrete,,0.3,
sc-123,,0,,lv-4,0,concrete,,0.3,
sc-124,,0,,lv-4,0,concrete,,0.3,
sc-125,,0,,lv-4,0,concrete,,0.3,
sc-126,,0,,lv-4,0,concrete,,0.3,
sc-127,,0,,lv-4,0,concrete,,0.3,
sc-128,,0,,lv-4,0,concrete,,0.3,
sc-129,,0,,lv-4,0,concrete,,0.3,
sc-130,,0,,lv-4,0,concrete,,0.3,
sc-131,,0,,lv-4,0,concrete,,0.3,
sc-132,,0,,lv-4,0,concrete,,0.3,
sc-133,,0,,lv-4,0,concrete,,0.3,
sc-134,,0,,lv-4,0,concrete,,0.3,
sc-135,,0,,lv-4,0,concrete,,0.3,
sc-136,,0,,lv-4,0,concrete,,0.3,
sc-137,,0,,lv-4,0,concrete,,0.3,
sc-138,,0,,lv-4,0,concrete,,0.3,
sc-139,,0,,lv-4,0,concrete,,0.3,
sc-140,,0,,lv-4,0,concrete,,0.3,
sc-141,,0,,lv-4,0,concrete,,0.3,
sc-142,,0,,lv-4,0,concrete,,0.3,
sc-143,,0,,lv-4,0,concrete,,0.3,
sc-144,,0,,lv-4,0,concrete,,0.3,
sc-145,,0,,lv-4,0,concrete,,0.3,
sc-146,,0,,lv-4,0,concrete,,0.3,
sc-147,,0,,lv-4,0,concrete,,0.3,
sc-148,,0,,lv-4,0,concrete,,0.3,
sc-149,,0,,lv-4,0,concrete,,0.3,
sc-150,,0,,lv-4,0,concrete,,0.3,
sc-151,,0,,lv-4,0,concrete,,0.3,
sc-152,,0,,lv-4,0,concrete,,0.3,
sc-153,,0,,lv-4,0,concrete,,0.3,
sc-154,,0,,lv-4,0,concrete,,0.3,
sc-155,,0,,lv-4,0,concrete,,0.3,
sc-156,,0,,lv-4,0,concrete,,0.3,
sc-157,,0,,lv-4,0,concrete,,0.3,
sc-158,,0,,lv-4,0,concrete,,0.3,
sc-159,,0,,lv-4,0,concrete,,0.3,
sc-160,,0,,lv-4,0,concrete,,0.3,
sc-161,,0,,lv-4,0,concrete,,0.3,
sc-162,,0,,lv-4,0,concrete,,0.3,
sc-163,,0,,lv-4,0,concrete,,0.3,
sc-164,,0,,lv-4,0,concrete,,0.3,
