id,number,base_offset,material,function,thickness
sl-12,,0,"Steel, Paint Finish, Dark Gray",floor,0.006
sl-23,,0.279,"Asphalt, Pavement, Light Grey",floor,0.305
sl-62,,0,"Concrete, Precast",floor,0.152
sl-69,,0.61,Metal Stud Layer,floor,0.286
sl-73,,0.305,"Concrete, Precast",floor,0.152
sl-127,,0,"Concrete, Precast",floor,0.152
sl-129,,0,"Concrete, Cast-in-Place gray",floor,0.102
sl-130,,0,"Concrete, Precast Smooth, Light Grey",floor,0.152
sl-131,,0,"Concrete, Precast Smooth, Light Grey",floor,0.152
sl-132,,0,"Concrete, Precast Smooth, Light Grey",floor,0.152
sl-133,,0,"Concrete, Precast Smooth, Light Grey",floor,0.152
sl-137,,0,"Concrete, Precast",floor,0.152
